sensor_id,timestamp,temperature,temp_unit,rainfall,rain_unit,humidity_percent,district,timestamp_ist,temperature_celsius,rain_unit_clean,rainfall_mm
SEN010,2026-05-15 18:40:32 UTC,17.2,°C,-46.5,mm,53.0,Karnal,2026-05-16 00:10:32,17.2,mm,
UNKNOWN,2026-04-04 19:31:23 IST,100.2,F,18.6,mm,,Unknown,2026-04-04 19:31:23,37.89,mm,18.6
SEN014,2026-02-08 01:10:37 IST,95.4,F,41.3,MM,39.0,Moga,2026-02-08 01:10:37,35.22,mm,41.3
SEN005,03-01-2026 07:48 AM,24.9,C,0.48,inches,68.0,Bathinda,2026-03-01 07:48:00,24.9,in,12.191999999999998
SEN010,2026-08-06 02:21:52 IST,22.1°C,,26.0,millimeters,50.0,Karnal,2026-08-06 02:21:52,22.1,mm,26.0
SEN036,2026-06-18 08:04:30 IST,65.7,Fahrenheit,3.7,MM,,Sirsa,2026-06-18 08:04:30,18.72,mm,3.7
SEN021,2026-02-05 00:04:04 IST,70.7,Fahrenheit,0.5,inch,93.0,Amritsar,2026-02-05 00:04:04,21.5,in,12.7
SEN024,2026-03-18 13:40:34,21.4°C,,41.4,MM,69.0,Fatehabad,2026-03-18 13:40:34,21.4,mm,41.4
SEN041,2026-01-11 08:58:24 UTC,30.5,°C,17.7,mm,92.0,Bathinda,2026-01-11 14:28:24,30.5,mm,17.7
SEN039,2026-06-18 08:28:41 UTC,18.7°C,,49.3,millimeters,94.0,Amritsar,2026-06-18 13:58:41,18.7,mm,49.3
SEN023,2026-05-06 04:21:38 IST,33.8,°C,-14.9,mm,68.0,Bathinda,2026-05-06 04:21:38,33.8,mm,
SEN008,2026-03-14 02:04:35 UTC,16.8,c,,,74.0,Hisar,2026-03-14 07:34:35,16.8,,
SEN029,2026-02-04 22:55:57 IST,27.6°C,,0.8,in,,Kurukshetra,2026-02-04 22:55:57,27.6,in,20.32
SEN041,2026-07-11 16:46:05 UTC,16,c,-10.9,mm,86.0,Bathinda,2026-07-11 22:16:05,16.0,mm,
UNKNOWN,2026-01-10 16:49:33 IST,16.2,c,0.35,inch,39.0,Unknown,2026-01-10 16:49:33,16.2,in,8.889999999999999
SEN007,2026-02-03 21:27:50 UTC,34.4,C,24.5,mm,65.0,Ferozepur,2026-02-04 02:57:50,34.4,mm,24.5
SEN033,2026-06-22 14:25:54 UTC,18.2°C,,0.78,inches,78.0,Muzaffarnagar,2026-06-22 19:55:54,18.2,in,19.812
SEN039,2026-04-23 12:37:38 UTC,76.6,°F,-9.8,mm,87.0,Amritsar,2026-04-23 18:07:38,24.78,mm,
SEN038,2026-08-22 20:12:32 IST,103.1,Fahrenheit,0.75,in,56.0,Ambala,2026-08-22 20:12:32,39.5,in,19.049999999999997
SEN048,02-25-2026 09:02 PM,82.6,f,,,80.0,Ludhiana,2026-02-25 21:02:00,28.11,,
SEN020,2026-05-03 21:30:19 UTC,23,c,1.13,inch,38.0,Ambala,2026-05-04 03:00:19,23.0,in,28.701999999999995
SEN011,02-26-2026 01:19 PM,39.5,Celsius,13.3,MM,,Kurukshetra,2026-02-26 13:19:00,39.5,mm,13.3
SEN024,2026-03-31 11:39:52 IST,85.8,Fahrenheit,0.73,inches,71.0,Fatehabad,2026-03-31 11:39:52,29.89,in,18.541999999999998
SEN014,2026-06-06 01:09:20 IST,89.8,F,32.7,mm,49.0,Moga,2026-06-06 01:09:20,32.11,mm,32.7
SEN009,2026-01-01 22:02:22 UTC,25.3,°C,0.5,inches,85.0,Jalandhar,2026-01-02 03:32:22,25.3,in,12.7
SEN008,2026-01-06 15:43:18,99.3,f,1.65,in,44.0,Hisar,2026-01-06 15:43:18,37.39,in,41.91
SEN035,2026-03-22 23:24:11 IST,93.4,F,36.6,mm,54.0,Saharanpur,2026-03-22 23:24:11,34.11,mm,36.6
SEN034,2026-07-06 04:54:07 IST,26.8,°C,25.0,millimeters,41.0,Patiala,2026-07-06 04:54:07,26.8,mm,25.0
SEN035,2026-08-02 12:17:16 UTC,22.2,°C,28.1,millimeters,84.0,Saharanpur,2026-08-02 17:47:16,22.2,mm,28.1
SEN030,13/01/2026 16:26,36.5,c,0.27,in,35.0,Ludhiana,2026-01-13 16:26:00,36.5,in,6.858
SEN035,,79.5,Fahrenheit,1.0,millimeters,62.0,Saharanpur,,26.39,mm,1.0
SEN044,2026-05-18 16:25:14 IST,102.2,°F,-43.4,mm,78.0,Hisar,2026-05-18 16:25:14,39.0,mm,
SEN035,2026-06-28 21:51:03,24.5°C,,41.2,millimeters,84.0,Saharanpur,2026-06-28 21:51:03,24.5,mm,41.2
SEN008,2026-01-12T21:09:05,29.5,Celsius,18.9,mm,80.0,Hisar,2026-01-12 21:09:05,29.5,mm,18.9
SEN007,2026-04-20 07:10:02 IST,16.9,c,26.9,mm,76.0,Ferozepur,2026-04-20 07:10:02,16.9,mm,26.9
SEN040,2026-02-19 22:18:36 IST,29.7,Celsius,0.64,inches,81.0,Bareilly,2026-02-19 22:18:36,29.7,in,16.256
SEN047,2026-06-18 15:10:28 IST,78.1,F,-6.4,mm,92.0,Kurukshetra,2026-06-18 15:10:28,25.61,mm,
SEN024,2026-04-23 12:43:57 IST,60.4,°F,37.1,MM,90.0,Fatehabad,2026-04-23 12:43:57,15.78,mm,37.1
SEN004,01/06/2026,32.2,c,-34.2,mm,69.0,Bareilly,2026-06-01 00:00:00,32.2,mm,
SEN016,,62.2,Fahrenheit,-5.0,mm,94.0,Patiala,,16.78,mm,
SEN003,2026-03-07 09:57:50 IST,82.2,F,,,66.0,Amritsar,2026-03-07 09:57:50,27.89,,
SEN032,2026-05-27 03:40:33 IST,38.8°C,,24.1,mm,89.0,Moga,2026-05-27 03:40:33,38.8,mm,24.1
SEN025,2026-02-06 13:59:20 UTC,95,f,1.72,in,73.0,Ferozepur,2026-02-06 19:29:20,35.0,in,43.687999999999995
SEN011,2026-01-02 20:50:38 UTC,36.5,c,20.3,millimeters,,Kurukshetra,2026-01-03 02:20:38,36.5,mm,20.3
SEN036,2026-03-21 15:41:00 IST,35.8°C,,45.4,millimeters,76.0,Sirsa,2026-03-21 15:41:00,35.8,mm,45.4
SEN041,2026-06-29 20:07:53 IST,68.9,Fahrenheit,-19.1,mm,31.0,Bathinda,2026-06-29 20:07:53,20.5,mm,
SEN010,2026-04-20 03:32:35 IST,23.2,C,25.1,MM,93.0,Karnal,2026-04-20 03:32:35,23.2,mm,25.1
SEN019,2026-05-02 01:30:32 UTC,61.3,Fahrenheit,25.0,mm,94.0,Agra,2026-05-02 07:00:32,16.28,mm,25.0
SEN030,2026-01-01 23:41:26 IST,30.4,°C,23.8,mm,40.0,Ludhiana,2026-01-01 23:41:26,30.4,mm,23.8
SEN033,2026-04-04 07:25:07 IST,69.8,f,6.2,millimeters,66.0,Muzaffarnagar,2026-04-04 07:25:07,21.0,mm,6.2
SEN013,2026-03-12 15:44:57 IST,20,Celsius,24.1,millimeters,49.0,Meerut,2026-03-12 15:44:57,20.0,mm,24.1
SEN033,,74.8,F,-38.8,mm,33.0,Muzaffarnagar,,23.78,mm,
UNKNOWN,2026-01-27 01:48:03 IST,71.6,°F,18.3,MM,50.0,Unknown,2026-01-27 01:48:03,22.0,mm,18.3
SEN025,2026-04-06 09:32:26 IST,70.9,°F,-46.7,mm,62.0,Ferozepur,2026-04-06 09:32:26,21.61,mm,
SEN009,2026-08-13 13:12:36 UTC,20.7,c,47.7,MM,31.0,Jalandhar,2026-08-13 18:42:36,20.7,mm,47.7
SEN032,2026-07-31 17:42:53 IST,73.8,f,36.4,mm,45.0,Moga,2026-07-31 17:42:53,23.22,mm,36.4
SEN015,2026-04-23 03:20:55 UTC,31.5,C,3.5,MM,43.0,Muzaffarnagar,2026-04-23 08:50:55,31.5,mm,3.5
SEN029,2026-01-27 07:59:34 IST,68.9,°F,,,76.0,Kurukshetra,2026-01-27 07:59:34,20.5,,
SEN022,2026-03-24 23:08:20 UTC,37.3,°C,46.2,millimeters,89.0,Bareilly,2026-03-25 04:38:20,37.3,mm,46.2
SEN020,2026-03-27 22:06:40 UTC,19.9,°C,35.1,mm,,Ambala,2026-03-28 03:36:40,19.9,mm,35.1
SEN041,2026-01-07 12:17:15 IST,84,F,1.44,inches,87.0,Bathinda,2026-01-07 12:17:15,28.89,in,36.57599999999999
SEN023,,96.6,°F,0.04,inches,91.0,Bathinda,,35.89,in,1.016
SEN040,2026-02-11 09:38:31 IST,33.7,Celsius,49.7,MM,32.0,Bareilly,2026-02-11 09:38:31,33.7,mm,49.7
SEN001,2026-02-08 12:10:33 IST,82.4,F,0.6,inch,79.0,Agra,2026-02-08 12:10:33,28.0,in,15.239999999999998
SEN034,2026-03-30 07:13:47 UTC,39.3°C,,-0.9,mm,69.0,Patiala,2026-03-30 12:43:47,39.3,mm,
SEN018,2026-03-25 23:05:38 UTC,100.4,°F,34.7,millimeters,89.0,Sirsa,2026-03-26 04:35:38,38.0,mm,34.7
SEN019,2026-03-30 21:42:04 IST,63.5,f,1.3,inches,74.0,Agra,2026-03-30 21:42:04,17.5,in,33.019999999999996
SEN036,2026-04-29 02:54:48 UTC,60.8,°F,-28.3,mm,59.0,Sirsa,2026-04-29 08:24:48,16.0,mm,
SEN014,2026-05-07 11:37:21,28.9,C,1.89,in,46.0,Moga,2026-05-07 11:37:21,28.9,in,48.00599999999999
SEN048,,84.4,Fahrenheit,4.6,MM,77.0,Ludhiana,,29.11,mm,4.6
SEN044,03-20-2026 02:55 PM,91.2,°F,0.41,inches,43.0,Hisar,2026-03-20 14:55:00,32.89,in,10.413999999999998
SEN010,2026-08-03 01:38:56 UTC,23.3,C,-31.7,mm,51.0,Karnal,2026-08-03 07:08:56,23.3,mm,
SEN006,2026-05-16 15:18:23 IST,36,c,-9.3,mm,33.0,Fatehabad,2026-05-16 15:18:23,36.0,mm,
SEN021,2026-05-09 01:29:59 UTC,81.3,f,37.6,millimeters,82.0,Amritsar,2026-05-09 06:59:59,27.39,mm,37.6
SEN017,19/06/2026 01:30,95.2,f,35.2,mm,88.0,Saharanpur,2026-06-19 01:30:00,35.11,mm,35.2
SEN038,2026-05-08 00:40:15,102.2,Fahrenheit,47.4,millimeters,54.0,Ambala,2026-05-08 00:40:15,39.0,mm,47.4
SEN047,2026-08-27 01:35:37 IST,71.1,F,0.13,inches,41.0,Kurukshetra,2026-08-27 01:35:37,21.72,in,3.302
SEN044,2026-01-08 22:17:13 IST,73.6,°F,41.8,millimeters,,Hisar,2026-01-08 22:17:13,23.11,mm,41.8
SEN005,2026-04-19 10:15:34 IST,19.0°C,,20.8,millimeters,85.0,Bathinda,2026-04-19 10:15:34,19.0,mm,20.8
SEN031,2026-01-09 12:01:15 IST,94.1,°F,49.9,mm,59.0,Meerut,2026-01-09 12:01:15,34.5,mm,49.9
SEN015,2026-06-27 04:15:25,103.5,Fahrenheit,22.6,mm,61.0,Muzaffarnagar,2026-06-27 04:15:25,39.72,mm,22.6
SEN025,2026-07-28 02:49:55 UTC,90.5,°F,1.7,millimeters,54.0,Ferozepur,2026-07-28 08:19:55,32.5,mm,1.7
SEN039,2026-02-17T04:24:50,31.6,Celsius,,,85.0,Amritsar,2026-02-17 04:24:50,31.6,,
SEN037,2026-02-27 14:50:11 IST,79.3,f,10.1,millimeters,65.0,Agra,2026-02-27 14:50:11,26.28,mm,10.1
SEN001,2026-01-29 18:53:46 IST,26.6,°C,40.9,MM,40.0,Agra,2026-01-29 18:53:46,26.6,mm,40.9
SEN013,2026-07-11 11:28:13,61.2,f,-39.9,mm,40.0,Meerut,2026-07-11 11:28:13,16.22,mm,
SEN010,2026-07-04 03:26:37 UTC,28.6°C,,4.4,MM,93.0,Karnal,2026-07-04 08:56:37,28.6,mm,4.4
SEN017,2026-07-15 20:59:18 UTC,25.6,C,-7.8,mm,52.0,Saharanpur,2026-07-16 02:29:18,25.6,mm,
SEN027,2026-08-23 19:56:55 IST,85.5,F,6.5,millimeters,90.0,Jalandhar,2026-08-23 19:56:55,29.72,mm,6.5
SEN020,2026-07-12 10:32:43 UTC,25.1,c,17.7,MM,93.0,Ambala,2026-07-12 16:02:43,25.1,mm,17.7
SEN020,2026-08-24 15:11:25 UTC,61.7,°F,0.06,in,95.0,Ambala,2026-08-24 20:41:25,16.5,in,1.5239999999999998
SEN030,23/07/2026 13:27,81.9,Fahrenheit,33.1,mm,89.0,Ludhiana,2026-07-23 13:27:00,27.72,mm,33.1
SEN016,19/04/2026 05:08,32.9°C,,25.8,MM,95.0,Patiala,2026-04-19 05:08:00,32.9,mm,25.8
SEN007,,70.7,F,1.84,inches,33.0,Ferozepur,,21.5,in,46.736
SEN009,,17.9,c,0.24,in,87.0,Jalandhar,,17.9,in,6.095999999999999
SEN003,2026-08-07 20:04:01 IST,98.4,f,24.6,mm,46.0,Amritsar,2026-08-07 20:04:01,36.89,mm,24.6
SEN024,31/08/2026 10:01,16.9,Celsius,-26.7,mm,32.0,Fatehabad,2026-08-31 10:01:00,16.9,mm,
SEN034,2026-07-23 23:32:42 IST,26.3,Celsius,0.61,inches,33.0,Patiala,2026-07-23 23:32:42,26.3,in,15.493999999999998
SEN012,2026-05-24 11:06:35 IST,29.7,C,8.6,MM,30.0,Ludhiana,2026-05-24 11:06:35,29.7,mm,8.6
SEN028,2026-02-04 19:29:03 IST,39.1,°C,46.6,millimeters,45.0,Karnal,2026-02-04 19:29:03,39.1,mm,46.6
SEN016,,29.1°C,,48.7,millimeters,90.0,Patiala,,29.1,mm,48.7
SEN012,2026-04-20 06:42:09 IST,15.4,Celsius,-25.3,mm,31.0,Ludhiana,2026-04-20 06:42:09,15.4,mm,
SEN048,2026-09-06 20:16:00 UTC,35.5,Celsius,0.73,in,77.0,Ludhiana,2026-09-07 01:46:00,35.5,in,18.541999999999998
SEN041,06-27-2026 12:43 PM,35.2°C,,20.9,mm,35.0,Bathinda,2026-06-27 12:43:00,35.2,mm,20.9
SEN011,2026-07-15 08:26:21 UTC,39.3,C,42.9,millimeters,56.0,Kurukshetra,2026-07-15 13:56:21,39.3,mm,42.9
SEN012,2026-08-11 14:58:22 UTC,21.7,c,1.25,inch,83.0,Ludhiana,2026-08-11 20:28:22,21.7,in,31.75
SEN043,2026-07-27 08:53:39 UTC,35.8°C,,0.04,inches,85.0,Ferozepur,2026-07-27 14:23:39,35.8,in,1.016
SEN029,2026-08-13 11:34:00 UTC,79.5,F,14.2,MM,48.0,Kurukshetra,2026-08-13 17:04:00,26.39,mm,14.2
SEN036,2026-06-15 03:51:27 UTC,91.8,f,3.6,MM,30.0,Sirsa,2026-06-15 09:21:27,33.22,mm,3.6
SEN034,2026-08-11 07:55:58 IST,61.2,Fahrenheit,39.5,millimeters,95.0,Patiala,2026-08-11 07:55:58,16.22,mm,39.5
SEN003,2026-02-21 07:53:15 IST,87.3,f,31.5,mm,35.0,Amritsar,2026-02-21 07:53:15,30.72,mm,31.5
SEN016,2026-08-08 03:37:21 IST,22.2°C,,35.0,millimeters,64.0,Patiala,2026-08-08 03:37:21,22.2,mm,35.0
SEN017,2026-06-23 05:37:02 UTC,27.8°C,,27.8,millimeters,54.0,Saharanpur,2026-06-23 11:07:02,27.8,mm,27.8
SEN006,2026-03-09 17:10:33 IST,24.5,Celsius,1.85,inches,53.0,Fatehabad,2026-03-09 17:10:33,24.5,in,46.99
SEN026,2026-02-28 06:37:06 UTC,60.4,f,30.2,MM,48.0,Hisar,2026-02-28 12:07:06,15.78,mm,30.2
SEN042,2026-09-08 15:35:15 UTC,68.2,°F,36.6,MM,32.0,Fatehabad,2026-09-08 21:05:15,20.11,mm,36.6
SEN049,2026-01-08 11:36:41 IST,64.8,F,1.23,in,76.0,Meerut,2026-01-08 11:36:41,18.22,in,31.241999999999997
SEN050,,86.7,F,-41.0,mm,30.0,Moga,,30.39,mm,
SEN015,2026-05-29 14:30:58 UTC,69.4,°F,35.0,MM,73.0,Muzaffarnagar,2026-05-29 20:00:58,20.78,mm,35.0
SEN010,2026-04-02 14:35:40 UTC,39.8,°C,10.9,MM,60.0,Karnal,2026-04-02 20:05:40,39.8,mm,10.9
SEN024,2026-03-03 03:47:32 IST,34.9°C,,0.13,inch,86.0,Fatehabad,2026-03-03 03:47:32,34.9,in,3.302
SEN043,2026-02-23 22:39:51 IST,75.2,Fahrenheit,15.5,MM,54.0,Ferozepur,2026-02-23 22:39:51,24.0,mm,15.5
SEN022,2026-05-08 22:33:23 UTC,19.2,°C,41.5,mm,73.0,Bareilly,2026-05-09 04:03:23,19.2,mm,41.5
UNKNOWN,2026-06-06T10:49:01,39.4,°C,,,32.0,Unknown,2026-06-06 10:49:01,39.4,,
SEN005,02-19-2026 07:01 AM,33.4,C,-36.1,mm,58.0,Bathinda,2026-02-19 07:01:00,33.4,mm,
SEN013,2026-04-05 04:06:44 UTC,20.4,C,37.4,MM,69.0,Meerut,2026-04-05 09:36:44,20.4,mm,37.4
SEN032,2026-07-07 10:20:45 IST,25.1,Celsius,0.7,MM,47.0,Moga,2026-07-07 10:20:45,25.1,mm,0.7
SEN023,2026-04-10 14:53:25 UTC,20.8,°C,24.9,millimeters,63.0,Bathinda,2026-04-10 20:23:25,20.8,mm,24.9
SEN035,2026-09-09 08:53:34 UTC,24.5,Celsius,9.4,MM,42.0,Saharanpur,2026-09-09 14:23:34,24.5,mm,9.4
SEN008,2026-05-09 13:10:41 IST,77,f,49.4,MM,74.0,Hisar,2026-05-09 13:10:41,25.0,mm,49.4
SEN022,2026-01-05 15:29:01 UTC,96.3,f,-9.3,mm,69.0,Bareilly,2026-01-05 20:59:01,35.72,mm,
SEN004,2026-01-08 07:40:03 IST,64.4,f,16.2,mm,73.0,Bareilly,2026-01-08 07:40:03,18.0,mm,16.2
