trip_id,mandi_id_clean,destination_warehouse,departure_time_clean,arrival_time_clean,transit_hours_final,distance_km,vehicle_no_clean,driver_id
TRP001559,MANDI041,WH-South,2026-05-27 20:11:00,2026-05-28 09:29:32,13.30888888888889,671.1,UP-60-CD-2446,DRV650
TRP001433,MANDI029,WH-West,2026-06-21 01:20:44,2026-06-21 06:08:44,4.8,261.7,UP-39-BC-3131,DRV765
TRP000040,MANDI006,WH-South,2026-01-24 07:05:00,2026-01-24 22:23:42,15.311666666666667,877.8,UP-24-BC-3811,DRV670
TRP003996,MANDI008,WH-East,2026-08-20 20:06:00,2026-08-21 09:48:28,13.707777777777778,715.6,HR-93-DF-5165,
TRP007461,MANDI004,WH-West,2026-06-08 00:00:00,,21.1,995.7,PB-71-BC-6631,
TRP005973,MANDI048,Export-Terminal,2026-06-19 13:25:00,2026-06-20 02:49:57,13.415833333333333,643.499800916544,DL-70-CD-1378,DRV423
TRP005174,MANDI054,WH-Central,2026-05-18 13:05:00,2026-05-19 03:29:00,14.4,835.5,HR-75-AB-3097,DRV499
TRP000961,MANDI043,WH-North,2026-01-07 21:56:00,2026-01-08 18:02:05,20.101388888888888,1164.0996398553984,DL-61-BC-2591,DRV807
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,2026-04-10 20:33:27,10.1,585.5,,DRV613
TRP007465,MANDI044,Export-Terminal,2026-02-07 19:51:11,2026-02-08 13:39:00,17.796944444444446,835.2997415782273,RJ-45-AB-4860,DRV224
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,DL-75-CD-5891,
TRP008147,MANDI019,WH-North,2026-05-28 13:14:44,2026-05-29 05:32:44,16.3,886.8997256144256,HR-30-BC-9997,DRV384
TRP006177,MANDI036,WH-West,2026-01-04 18:01:00,2026-01-04 22:07:19,4.105277777777777,,PB-73-AB-4041,DRV497
TRP007259,MANDI048,WH-North,2026-07-11 00:39:35,2026-07-11 12:51:35,12.2,620.1,DL-59-BC-5485,DRV350
TRP000034,MANDI057,WH-West,2026-08-13 05:21:48,2026-08-13 14:15:48,8.9,437.5,DL-65-AB-3380,DRV761
TRP001251,MANDI039,WH-West,2026-06-22 00:15:00,2026-06-22 06:39:00,6.4,,HR-17-AB-1638,DRV299
TRP003527,MANDI055,WH-North,2026-02-17 19:49:00,,4.1,239.6999258425728,PB-25-BC-1517,DRV630
TRP008904,MANDI056,WH-North,2026-05-02 10:59:00,2026-05-03 07:17:55,20.315277777777776,1115.4,PB-28-DF-8439,DRV544
TRP001537,MANDI012,WH-West,2026-05-09 02:30:00,2026-05-09 00:00:00,15.1,835.3,RJ-10-AB-4277,
TRP008180,MANDI021,Export-Terminal,2026-02-06 08:55:45,2026-02-06 13:25:00,4.4875,199.5,UP-83-AB-2103,DRV524
TRP001122,MANDI011,WH-South,2026-05-01 22:46:00,,16.9,819.7,RJ-78-BC-1965,DRV222
TRP001218,MANDI052,Export-Terminal,2026-06-24 08:17:00,2026-06-24 14:11:31,5.908611111111111,271.6,RJ-41-DF-2783,DRV825
TRP004111,MANDI032,WH-North,2026-08-04 21:07:00,2026-08-05 05:49:00,8.7,520.4,RJ-87-CD-3403,DRV733
TRP008942,MANDI021,Export-Terminal,2026-04-19 23:37:28,2026-04-20 16:19:28,16.7,850.8,PB-98-DF-3830,DRV786
TRP000305,MANDI026,Export-Terminal,2026-06-22 00:00:00,,7.6,422.6,HR-20-CD-6378,DRV161
TRP000624,MANDI048,Export-Terminal,2026-04-01 04:37:31,2026-04-01 12:55:31,8.3,417.5,,DRV190
TRP007782,MANDI024,WH-South,2026-08-03 00:00:00,2026-08-03 14:39:21,14.655833333333334,504.49984391980803,RJ-72-AB-5979,DRV685
TRP002486,MANDI025,WH-Central,2026-08-06 03:13:00,,9.5,503.0,HR-58-AB-7983,DRV608
TRP003291,MANDI023,WH-North,2026-06-02 17:53:00,2026-06-03 10:29:33,16.609166666666667,766.0,PB-51-CD-7947,DRV432
TRP006819,MANDI048,WH-South,2026-07-23 07:56:05,2026-07-23 19:02:00,11.098611111111111,446.2,DL-38-BC-6694,DRV485
TRP001278,MANDI022,WH-Central,2026-07-18 20:53:32,2026-07-19 01:41:32,4.8,262.2,HR-94-DF-4063,DRV934
TRP001902,MANDI028,Export-Terminal,2026-07-07 07:23:00,2026-07-08 01:59:00,18.6,1020.6,UP-34-DF-9243,DRV421
TRP000440,MANDI054,WH-North,2026-01-22 14:59:00,2026-01-23 12:23:07,21.401944444444446,1016.8,UP-50-AB-4159,DRV162
TRP007232,MANDI038,WH-South,2026-04-10 06:17:01,2026-04-10 22:47:01,16.5,,,DRV709
TRP002456,MANDI016,WH-East,2026-06-05 08:59:36,2026-06-05 11:59:36,3.0,164.3,DL-30-BC-8601,
TRP002904,MANDI007,WH-South,2026-01-16 00:00:00,2026-01-16 16:54:49,16.913611111111113,524.1,RJ-55-BC-3913,DRV357
TRP008945,MANDI018,WH-Central,2026-07-04 21:17:31,2026-07-05 17:53:31,20.6,982.2996960999552,PB-83-DF-9790,DRV893
TRP006235,MANDI031,WH-South,2026-02-01 14:55:00,2026-02-01 21:31:24,6.6066666666666665,,HR-69-AB-7486,
TRP006410,MANDI049,WH-West,2026-01-13 00:00:00,2026-01-14 15:30:30,39.50833333333333,973.7,PB-73-BC-6200,DRV302
TRP001922,MANDI045,WH-North,2026-03-20 20:25:00,2026-03-21 03:37:00,7.2,297.1,HR-67-CD-4681,DRV547
TRP006686,MANDI051,Export-Terminal,2026-04-01 06:14:00,2026-04-02 02:14:05,20.00138888888889,1007.1,PB-13-DF-2493,
TRP005144,MANDI032,WH-South,2026-05-06 15:52:28,2026-05-07 04:22:28,12.5,,RJ-28-DF-3707,DRV628
TRP004697,MANDI044,Export-Terminal,2026-08-15 03:48:23,2026-08-16 03:36:00,23.79361111111111,999.6996907168129,DL-52-BC-1440,DRV361
TRP001632,MANDI027,WH-West,2026-02-19 19:53:29,2026-02-20 00:00:00,4.108611111111111,592.1,UP-24-CD-4874,DRV886
TRP007839,MANDI056,WH-Central,2026-04-23 10:45:00,2026-04-24 01:33:34,14.809444444444445,,DL-17-DF-2064,DRV560
TRP003384,MANDI052,Export-Terminal,2026-04-28 05:23:39,,19.6,,RJ-44-CD-5651,
TRP002610,MANDI017,Export-Terminal,2026-02-09 18:12:41,2026-02-10 02:36:41,8.4,479.5,,
TRP005169,MANDI025,Export-Terminal,2026-07-02 17:00:00,2026-07-02 23:36:00,6.6,343.0,UP-31-CD-6120,DRV353
TRP007891,MANDI023,WH-North,2026-06-11 18:00:06,2026-06-12 00:00:00,5.998333333333333,905.9,HR-94-CD-1203,DRV937
TRP001248,MANDI029,WH-South,2026-08-06 00:51:00,2026-08-06 22:39:09,21.8025,1018.2,HR-49-DF-9523,DRV507
TRP008234,MANDI054,WH-South,2026-06-08 02:25:26,2026-06-08 08:49:26,6.4,354.5,UP-77-BC-2470,DRV735
TRP006454,MANDI019,WH-South,2026-06-07 18:33:51,2026-06-08 15:09:51,20.6,1196.5996298006785,DL-39-BC-7294,
TRP002031,MANDI057,WH-South,2026-08-01 08:47:10,2026-08-01 13:05:10,4.3,185.9,RJ-30-DF-3879,DRV891
TRP007504,MANDI043,Export-Terminal,2026-01-16 15:53:18,2026-01-17 00:00:00,8.111666666666666,,UP-78-AB-5221,DRV629
TRP003195,MANDI023,WH-South,2026-07-02 17:36:29,2026-07-03 17:18:29,23.7,1160.4,UP-55-CD-7932,
TRP006585,MANDI037,WH-West,2026-07-25 01:21:38,,,216.5,,DRV203
TRP005072,MANDI033,WH-West,2026-06-02 09:35:00,2026-06-02 17:29:00,7.9,378.4,,
TRP001684,MANDI023,WH-South,2026-04-02 15:52:48,2026-04-03 08:10:48,16.3,852.2,PB-27-BC-9556,DRV142
TRP005282,MANDI047,WH-East,2026-04-27 00:00:00,2026-04-28 18:09:00,42.15,1355.3995806717699,DL-86-BC-3753,DRV801
TRP002702,MANDI021,WH-East,2026-08-15 13:34:52,,18.7,1052.5,DL-36-CD-4633,DRV980
TRP005728,MANDI003,WH-Central,2026-04-04 18:01:00,2026-04-04 22:07:53,4.114722222222222,,PB-53-AB-1832,DRV811
TRP006775,MANDI039,WH-West,2026-06-15 16:11:00,2026-06-16 07:05:00,14.9,753.5,RJ-27-AB-2586,DRV100
TRP003747,MANDI044,WH-West,2026-01-06 10:03:07,2026-01-07 03:39:07,17.6,710.0,UP-62-CD-7472,DRV268
TRP007389,MANDI002,WH-East,2026-05-15 02:42:06,2026-05-15 16:48:06,14.1,,HR-28-AB-1975,DRV770
TRP008483,MANDI029,WH-East,2026-06-11 11:02:00,2026-06-11 00:00:00,9.5,466.1,HR-28-BC-5774,DRV713
TRP002933,MANDI057,WH-South,2026-02-21 22:30:34,2026-02-22 00:00:00,1.4905555555555556,445.6,DL-23-AB-5218,DRV564
TRP005382,MANDI055,WH-Central,2026-06-08 00:00:00,2026-06-08 11:09:00,11.15,294.0,HR-81-AB-3126,DRV461
TRP004003,MANDI019,WH-South,2026-07-08 04:44:04,2026-07-09 00:00:00,19.265555555555554,840.2,RJ-14-BC-6388,DRV158
TRP006097,MANDI018,WH-East,2026-06-13 20:45:53,2026-06-14 19:33:53,22.8,1100.8,UP-13-BC-5242,
TRP008343,MANDI038,WH-West,2026-01-22 19:47:00,2026-01-23 05:47:40,10.011111111111111,474.19985329390084,RJ-36-BC-7540,DRV350
TRP005897,MANDI055,WH-East,2026-02-28 08:43:48,2026-02-28 16:25:00,7.6866666666666665,445.7,HR-20-DF-4433,DRV311
TRP002517,MANDI030,WH-East,2026-04-13 19:43:10,2026-04-14 11:19:10,15.6,734.4,RJ-46-BC-3812,DRV863
TRP008025,MANDI057,WH-South,2026-06-24 13:12:06,2026-06-25 10:06:06,20.9,1010.3,DL-69-AB-5694,DRV331
TRP002479,MANDI056,WH-North,2026-03-17 16:41:00,2026-03-18 06:41:00,14.0,,UP-20-AB-6931,
TRP008311,MANDI008,WH-East,2026-08-18 01:45:45,2026-08-18 19:57:45,18.2,906.1,,DRV132
TRP004149,MANDI028,WH-West,2026-05-03 20:00:00,2026-05-04 18:12:00,22.2,948.0,PB-14-CD-6880,DRV298
TRP005734,MANDI034,WH-South,2026-03-05 16:09:00,2026-03-06 00:00:00,7.85,521.1,UP-88-CD-9876,DRV770
TRP007377,MANDI013,WH-Central,2026-03-27 00:00:00,2026-03-28 00:06:22,24.10611111111111,1005.3,UP-77-AB-5053,DRV676
TRP007332,MANDI047,WH-Central,2026-03-21 14:57:00,2026-03-22 12:33:45,21.6125,916.2997165187711,RJ-37-BC-7009,DRV210
TRP004831,MANDI036,WH-South,2026-07-01 10:10:04,2026-07-01 16:10:00,5.998888888888889,332.5,DL-85-DF-2318,
TRP007838,MANDI040,WH-Central,2026-04-05 10:04:00,2026-04-05 16:04:02,6.000555555555556,318.5,RJ-55-AB-5201,DRV518
TRP003466,MANDI031,WH-North,2026-08-24 21:58:00,2026-08-25 08:52:52,10.914444444444445,,,DRV696
TRP000322,MANDI003,Export-Terminal,2026-03-06 04:15:50,2026-03-06 15:09:50,10.9,449.3,PB-49-CD-8480,
TRP005366,MANDI003,WH-West,2026-05-07 11:52:46,2026-05-08 02:16:46,14.4,712.2,RJ-42-AB-5114,DRV803
TRP001079,MANDI031,Export-Terminal,2026-02-03 04:30:30,2026-02-03 23:36:00,19.091666666666665,916.9,UP-25-DF-6185,DRV847
TRP007640,MANDI033,WH-Central,2026-08-30 22:02:40,2026-08-31 17:32:40,19.5,809.5,RJ-10-CD-5947,DRV760
TRP003704,MANDI024,WH-West,2026-02-10 00:00:00,2026-02-11 00:00:00,24.0,1107.0,RJ-86-DF-4314,DRV549
TRP002349,MANDI023,WH-West,2026-04-05 11:52:00,2026-04-06 10:10:12,22.303333333333335,1100.1,DL-35-DF-7496,DRV600
TRP004130,MANDI004,WH-North,2026-02-02 18:20:27,2026-02-03 00:00:00,5.659166666666667,849.3,DL-34-CD-8559,DRV997
TRP001435,MANDI039,WH-South,2026-03-23 01:44:35,2026-03-23 14:56:35,13.2,567.6,RJ-30-AB-1006,DRV870
TRP001057,MANDI043,WH-North,2026-07-25 05:01:53,2026-07-26 00:00:00,18.968611111111112,943.2,RJ-99-AB-1741,DRV234
TRP008696,MANDI036,WH-South,2026-05-02 16:30:00,,11.1,528.5998364638465,HR-95-BC-2138,DRV224
TRP001719,MANDI009,WH-West,2026-01-15 15:20:47,2026-01-15 21:44:47,6.4,359.0,PB-91-BC-9566,DRV588
TRP008628,MANDI051,WH-South,2026-01-30 21:17:00,2026-01-31 13:59:45,16.7125,724.0,,DRV334
TRP002693,MANDI019,Export-Terminal,2026-08-13 13:54:40,2026-08-13 22:24:00,8.488888888888889,488.8,PB-51-AB-8653,DRV840
TRP003756,MANDI029,WH-Central,2026-05-13 16:06:18,2026-05-14 10:12:18,18.1,,UP-34-AB-2673,DRV936
TRP006713,MANDI020,WH-Central,2026-06-17 03:48:00,2026-06-17 00:00:00,,219.9,,DRV126
TRP009529,MANDI018,WH-North,2026-07-27 03:36:26,2026-07-27 17:24:26,13.8,554.2,UP-28-AB-4703,DRV905
TRP004075,MANDI055,WH-North,2026-03-16 23:48:00,2026-03-17 03:48:00,4.0,195.9,PB-24-CD-7831,
TRP001524,MANDI045,WH-East,2026-01-05 07:40:34,2026-01-06 04:58:00,21.290555555555557,1113.6,DL-31-CD-6863,DRV534
TRP004813,MANDI054,WH-Central,2026-02-08 00:00:00,2026-02-09 03:01:00,27.016666666666666,806.7,PB-11-DF-2696,DRV854
TRP008502,MANDI053,WH-West,2026-08-24 02:52:52,2026-08-24 05:46:00,2.8855555555555554,168.9,HR-82-AB-7567,DRV177
TRP006962,MANDI046,WH-Central,2026-06-30 11:13:42,2026-06-30 22:43:00,11.488333333333333,587.199818334413,PB-68-BC-3755,DRV855
TRP003017,MANDI038,WH-South,2026-07-12 05:51:00,2026-07-12 07:57:17,2.104722222222222,117.1999637411328,RJ-71-BC-9641,DRV798
TRP006884,MANDI030,WH-South,2026-03-21 19:40:00,2026-03-22 01:58:17,6.304722222222222,278.79991374597125,PB-71-AB-2643,DRV676
TRP007840,MANDI035,WH-Central,2026-06-19 08:29:00,2026-06-19 21:59:28,13.507777777777777,706.9,RJ-26-BC-2844,
TRP009542,MANDI002,Export-Terminal,2026-03-02 06:10:00,2026-03-02 08:10:59,2.016388888888889,115.5999642361344,DL-81-DF-3115,DRV551
TRP001884,MANDI030,WH-North,2026-07-08 06:58:02,2026-07-09 00:22:02,17.4,770.3,,DRV479
TRP005466,MANDI019,WH-South,2026-05-03 21:48:00,2026-05-04 00:00:00,2.2,292.5,PB-59-AB-3758,
TRP006329,MANDI052,WH-West,2026-03-20 03:34:48,2026-03-21 02:58:48,23.4,1184.199633636941,RJ-54-BC-7562,DRV288
TRP005099,MANDI034,Export-Terminal,2026-03-19 14:03:50,2026-03-19 18:21:50,4.3,248.1,DL-82-BC-9183,DRV844
TRP009230,MANDI030,WH-Central,2026-02-16 03:32:05,2026-02-16 14:08:05,10.6,483.7,RJ-82-BC-3304,DRV233
TRP004158,MANDI048,WH-East,2026-02-12 00:13:00,2026-02-12 08:49:59,8.616388888888888,363.2,HR-52-DF-4502,
TRP006301,MANDI053,WH-East,2026-02-22 00:00:00,2026-02-23 00:00:00,24.0,472.6,RJ-24-BC-4641,
TRP004614,MANDI054,WH-North,2026-02-16 20:27:14,,,479.9,UP-62-AB-1484,
TRP008599,MANDI056,WH-Central,2026-07-18 05:42:40,2026-07-18 21:48:40,16.1,861.8997333488257,RJ-97-CD-4878,DRV953
TRP003022,MANDI001,WH-South,2026-08-07 00:00:00,2026-08-08 03:55:41,27.928055555555556,488.3,PB-14-BC-6897,DRV839
TRP008251,MANDI057,WH-North,2026-06-28 23:40:13,2026-06-29 05:04:13,5.4,,HR-86-BC-4485,DRV131
TRP006114,MANDI051,WH-South,2026-07-19 00:00:00,2026-07-20 10:46:43,34.77861111111111,657.8,PB-39-DF-3011,DRV929
TRP000120,MANDI023,WH-South,2026-02-15 00:00:00,2026-02-15 19:14:00,19.233333333333334,745.2997694220672,PB-72-CD-4744,DRV212
TRP006830,MANDI041,WH-Central,2026-07-09 23:23:00,2026-07-10 23:05:07,23.701944444444443,1237.2,UP-63-CD-8038,DRV907
TRP003464,MANDI010,WH-South,2026-07-07 16:19:00,2026-07-07 20:43:00,4.4,196.89993908386563,HR-90-BC-1367,DRV976
TRP001459,MANDI042,Export-Terminal,2026-04-30 18:22:01,2026-04-30 23:22:01,5.0,275.2,UP-51-AB-4994,DRV547
TRP009534,MANDI020,WH-North,2026-08-11 15:41:39,2026-08-12 06:35:39,14.9,,UP-17-DF-8204,DRV273
TRP001407,MANDI034,WH-North,2026-08-22 04:11:00,2026-08-22 09:29:18,5.305,,,DRV657
TRP000488,MANDI002,WH-South,2026-07-29 21:28:03,2026-07-30 00:00:00,2.5325,667.9,UP-15-BC-9825,DRV395
TRP006327,MANDI056,WH-West,2026-06-21 09:06:51,2026-06-22 02:00:51,16.9,753.7,,DRV187
TRP002887,MANDI001,Export-Terminal,2026-07-03 15:43:24,2026-07-04 11:55:24,20.2,1173.0,PB-35-DF-1300,
TRP002146,MANDI044,WH-North,2026-08-02 15:58:00,,12.8,566.8,UP-36-BC-4306,DRV521
TRP003521,MANDI045,WH-Central,2026-03-04 06:08:32,2026-03-04 17:20:32,11.2,515.6,PB-89-AB-7373,DRV178
TRP006637,MANDI008,WH-West,2026-01-21 01:40:52,2026-01-21 07:34:00,5.885555555555555,,DL-74-DF-3326,DRV150
TRP007248,MANDI057,WH-East,2026-05-26 07:11:00,2026-05-26 12:11:22,5.006111111111111,226.4,RJ-34-BC-7142,DRV404
TRP007820,MANDI010,WH-East,2026-02-16 10:47:29,2026-02-17 00:29:00,13.691944444444445,585.1998189531649,PB-25-AB-9316,
TRP000519,MANDI040,WH-South,2026-06-25 09:20:00,2026-06-26 00:00:00,14.666666666666666,1043.2,RJ-15-DF-1359,DRV555
TRP001112,MANDI032,WH-West,2026-01-26 00:00:00,2026-01-26 22:56:09,22.935833333333335,,UP-16-AB-6019,DRV205
TRP001685,MANDI049,WH-South,2026-01-20 04:38:11,2026-01-20 00:00:00,16.8,732.3,HR-82-DF-6289,DRV937
TRP000736,MANDI042,WH-East,2026-03-02 21:23:00,2026-03-03 11:17:00,13.9,704.7997819517952,PB-57-CD-6077,
TRP004615,MANDI042,WH-South,2026-08-15 02:56:00,2026-08-15 23:50:00,20.9,1032.1,DL-84-AB-8674,DRV789
TRP004084,MANDI001,WH-South,2026-02-01 17:45:28,2026-02-02 02:33:28,8.8,452.6,HR-52-DF-7826,DRV766
TRP009966,MANDI028,Export-Terminal,2026-06-02 23:55:57,2026-06-03 02:01:57,2.1,118.8,PB-15-BC-5519,DRV863
TRP002329,MANDI010,WH-North,2026-04-28 00:37:00,2026-04-28 03:19:00,2.7,108.4,,DRV254
TRP000544,MANDI004,Export-Terminal,2026-08-03 00:23:00,2026-08-03 09:47:00,9.4,544.4,RJ-14-AB-8168,
TRP005796,MANDI049,WH-East,2026-08-17 10:46:00,2026-08-17 17:52:00,7.1,411.8998725680256,DL-19-DF-4113,DRV977
TRP006608,MANDI019,WH-South,2026-07-08 03:50:00,2026-07-08 15:32:45,11.7125,600.4,DL-55-DF-9091,DRV508
TRP001635,MANDI006,WH-Central,2026-08-22 16:49:00,2026-08-23 00:37:09,7.8025,,DL-80-CD-4699,DRV140
TRP003356,MANDI051,WH-Central,2026-08-29 16:39:33,2026-08-29 00:00:00,5.4,309.9,HR-43-BC-1036,DRV789
TRP009515,MANDI001,WH-West,2026-07-12 02:24:16,2026-07-12 07:42:00,5.295555555555556,266.19991764410884,HR-45-CD-4203,DRV955
TRP000097,MANDI028,WH-North,2026-03-06 06:14:13,2026-03-06 08:26:13,2.2,107.89996661832961,HR-93-AB-3314,DRV749
TRP009204,MANDI043,WH-South,2026-05-18 17:19:25,2026-05-18 22:43:25,5.4,288.6,HR-27-AB-9993,DRV224
TRP006862,MANDI026,WH-West,2026-02-05 09:17:01,2026-02-05 17:11:00,7.8997222222222225,424.4,PB-86-CD-1156,DRV777
TRP002677,MANDI009,WH-North,2026-03-30 06:51:00,,6.9,403.1,,DRV477
TRP003469,MANDI008,WH-Central,2026-08-10 11:15:07,2026-08-11 01:57:07,14.7,778.7,HR-70-CD-8407,DRV533
TRP009449,MANDI046,WH-West,2026-09-08 13:38:00,2026-09-09 01:26:16,11.804444444444444,631.6998045671809,DL-29-DF-2005,DRV816
TRP003707,MANDI007,WH-West,2026-03-24 04:52:52,2026-03-24 16:46:00,11.885555555555555,647.0,UP-22-BC-1853,
TRP008198,MANDI030,WH-Central,2026-07-04 00:09:00,2026-07-04 11:39:59,11.516388888888889,507.7,UP-64-AB-2831,DRV935
TRP009669,MANDI029,WH-East,2026-06-28 00:00:00,2026-06-28 21:32:19,21.538611111111113,837.0,RJ-25-AB-7223,DRV527
TRP007516,MANDI041,WH-North,2026-05-11 10:18:49,2026-05-11 19:06:00,8.786388888888888,410.7,DL-10-DF-3873,DRV576
TRP003915,MANDI043,WH-North,2026-06-04 06:06:52,2026-06-04 11:00:00,4.885555555555555,227.0,UP-47-AB-1312,DRV512
TRP008965,MANDI006,WH-South,2026-04-17 20:45:34,2026-04-18 13:09:00,16.390555555555554,863.3,,DRV872
TRP005269,MANDI050,WH-North,2026-08-10 17:42:00,2026-08-11 17:06:30,23.408333333333335,,DL-46-AB-2409,DRV893
TRP003232,MANDI035,WH-West,2026-08-17 00:00:00,2026-08-18 15:07:02,39.117222222222225,1248.8,HR-69-BC-9227,DRV280
TRP007270,MANDI021,WH-South,2026-01-02 21:57:16,2026-01-03 00:33:16,2.6,,UP-31-CD-1157,DRV923
TRP008433,MANDI039,WH-Central,2026-05-19 07:30:00,2026-05-20 00:00:00,16.5,860.9,HR-98-AB-9131,DRV585
TRP003101,MANDI028,WH-North,2026-01-17 15:47:13,2026-01-18 00:29:00,8.696388888888889,416.9,RJ-77-BC-4125,
TRP006130,MANDI009,WH-North,2026-02-23 23:50:14,2026-02-24 11:38:00,11.796111111111111,705.4,PB-99-DF-2869,DRV290
TRP009418,MANDI043,WH-North,2026-08-26 10:30:00,2026-08-27 09:30:51,23.014166666666668,924.2,PB-55-AB-8232,DRV806
TRP006394,MANDI016,WH-East,2026-04-03 23:59:05,2026-04-04 02:41:05,2.7,153.3,PB-94-AB-3631,DRV260
TRP005494,MANDI003,WH-West,2026-05-20 22:11:04,2026-05-21 10:05:00,11.898888888888889,619.1,RJ-60-DF-9853,DRV413
TRP006205,MANDI039,WH-North,2026-04-27 13:43:00,2026-04-27 00:00:00,5.8,258.3,PB-86-AB-7987,DRV179
TRP009616,MANDI051,WH-East,2026-03-20 17:11:00,2026-03-21 06:17:20,13.105555555555556,,DL-78-AB-6868,DRV956
TRP007350,MANDI030,WH-North,2026-01-16 02:44:00,2026-01-16 16:44:00,14.0,653.2997978846593,HR-43-AB-3177,DRV634
TRP009335,MANDI054,WH-South,2026-05-15 16:23:46,2026-05-16 07:41:46,15.3,788.0,,DRV942
TRP001661,MANDI014,WH-Central,2026-03-15 20:33:33,2026-03-16 19:21:33,22.8,1345.0,RJ-70-CD-7285,DRV851
TRP000312,MANDI042,WH-South,2026-05-18 08:31:28,2026-05-18 11:55:28,3.4,145.6,PB-97-CD-9995,DRV232
TRP004420,MANDI005,Export-Terminal,2026-04-01 13:57:15,2026-04-01 20:33:15,6.6,365.1,RJ-30-DF-8449,DRV678
TRP007227,MANDI001,WH-West,2026-06-30 18:43:00,,,1185.5,DL-98-CD-1437,DRV962
TRP000319,MANDI028,Export-Terminal,2026-07-12 23:38:00,2026-07-13 08:56:00,9.3,552.9,,DRV934
TRP008577,MANDI050,WH-East,2026-01-11 00:44:00,2026-01-11 19:02:45,18.3125,1063.5,,DRV258
TRP004808,MANDI003,WH-East,2026-01-21 10:14:00,2026-01-21 13:32:47,3.3130555555555556,171.0999470657664,PB-56-BC-9967,
TRP000304,MANDI009,Export-Terminal,2026-04-01 20:04:40,2026-04-02 12:34:40,16.5,754.3,DL-58-AB-6314,DRV141
TRP003081,MANDI043,WH-West,2026-07-29 11:11:37,,8.5,499.8,UP-36-AB-2854,DRV844
TRP003060,MANDI055,Export-Terminal,2026-03-24 00:00:00,,6.4,306.29990523813126,HR-91-BC-6046,
