arrival_id,date,mandi_id,crop_name,variety,arrival_quantity,unit,farmer_count,unit_standardized,arrival_quantity_qtl
ARR0021143,2026-04-30,MANDI024,Mustard,Premium,7048.999999999999,Kgs,7.0,kgs,70.49
ARR0019959,2026-08-21,MANDI022,Maize,PBW-343,38.343,Tonnes,85.0,tonnes,383.43000000000006
ARR0001442,2026-05-31,MANDI044,Rice,Local,113.89,Qtl,97.0,qtl,113.89
ARR0004480,2026-04-08,MANDI045,Wheat,Local,15910.0,kg,102.0,kg,159.1
ARR0021197,2026-08-28,MANDI021,Sugarcane,Hybrid,197.48,qtl,,qtl,197.48
ARR0020628,2026-06-12,MANDI012,Sugarcane,PBW-343,35053.0,Kilo,71.0,kilo,350.53000000000003
ARR0001665,2026-07-30,MANDI055,Rice,Local,406.67,Quintals,,quintals,406.67
ARR0002938,2026-07-04,MANDI016,Wheat,,162.36,qtl,114.0,qtl,162.36
ARR0019350,2026-03-25,MANDI001,Wheat,Premium,19.073,MT,,mt,190.73000000000002
ARR0020205,2026-07-05,MANDI037,Maize,Hybrid,7347.0,Kgs,17.0,kgs,73.47
ARR0015292,2026-07-15,MANDI037,Wheat,PBW-343,"36,654.0 KG",,53.0,kg,366.54
ARR0019616,2026-04-10,MANDI008,Maize,Hybrid,82.61,qtl,,qtl,82.61
ARR0022884,2026-05-12,MANDI047,Maize,,194.32,Quintals,33.0,quintals,194.32
ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,38.055,MT,6.0,mt,380.55
ARR0003266,2026-04-24,MANDI023,Sugarcane,,97.11,qtl,17.0,qtl,97.11
ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,15999.0,Kilo,125.0,kilo,159.99
ARR0017190,2026-08-01,MANDI002,Cotton,PBW-343,"22,697.0 KG",,73.0,kg,226.97
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,7845.0,KGS,54.0,kgs,78.45
ARR0013641,2026-03-18,MANDI018,Mustard,Premium,342.39,Qtl,143.0,qtl,342.39
ARR0019876,2026-07-12,MANDI054,Rice,,32227.0,Kgs,127.0,kgs,322.27
ARR0018787,2026-08-08,MANDI044,Rice,Pusa-1121,336.73 qtl,,69.0,qtl,336.73
ARR0020778,2026-03-08,MANDI024,Mustard,HD-2967,12790.0,Kilo,113.0,kilo,127.9
ARR0002765,2026-02-28,MANDI013,Mustard,Premium,361.74,Q,62.0,q,361.74
ARR0014145,2026-01-31,MANDI006,Sugarcane,Pusa-1121,469.92,qtl,18.0,qtl,469.92
ARR0023854,2026-05-06,MANDI007,Sugarcane,,-177.05,KG,46.0,kg,
ARR0012859,2026-03-20,MANDI057,Cotton,PBW-343,34.129000000000005,T,,t,341.2900000000001
ARR0023766,2026-02-02,MANDI025,Rice,HD-2967,17588.0,Kgs,88.0,kgs,175.88
ARR0009572,2026-05-10,MANDI041,Maize,Premium,17.603,T,38.0,t,176.03000000000003
ARR0021131,2026-04-24,MANDI040,Maize,Hybrid,309.07 qtl,,146.0,qtl,309.07
ARR0022207,2026-03-25,MANDI027,Rice,HD-2967,47236.0,Kgs,11.0,kgs,472.36
ARR0005385,2026-08-07,MANDI028,Cotton,Hybrid,12.677,tonnes,5.0,tonnes,126.77
ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,28.492,Tonnes,99.0,tonnes,284.92
ARR0015213,2026-02-27,MANDI005,Rice,PBW-343,54.32,qtl,122.0,qtl,54.32
ARR0010273,2026-03-06,MANDI021,Mustard,,200.26,Qtl,11.0,qtl,200.26
ARR0023476,2026-06-05,MANDI023,Mustard,PBW-343,312.23,Qtl,18.0,qtl,312.23
ARR0013815,2026-08-06,MANDI009,Maize,HD-2967,27041.000000000004,Kilo,83.0,kilo,270.41
ARR0023287,2026-02-08,MANDI003,Cotton,PBW-343,4.441,MT,127.0,mt,44.41
ARR0016192,2026-07-03,MANDI023,Maize,,455.6,quintal,59.0,quintal,455.6
ARR0011823,2026-01-13,MANDI004,Rice,HD-2967,60.33,qtl,124.0,qtl,60.33
ARR0005816,2026-01-24,MANDI039,Sugarcane,PBW-343,158.3,quintal,135.0,quintal,158.3
ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,"43,655.0 KG",,128.0,kg,436.55
ARR0010009,2026-03-10,MANDI004,Rice,,29139.999999999996,kg,,kg,291.4
ARR0022129,2026-02-10,MANDI040,Sugarcane,Local,45813.0,KGS,131.0,kgs,458.13
ARR0015481,2026-06-09,MANDI028,Maize,Premium,"7,278.0 KG",,68.0,kg,72.78
ARR0020630,2026-08-16,MANDI028,Rice,Local,32583.0,kg,36.0,kg,325.83
ARR0005888,2026-07-03,MANDI049,Maize,,182.46,quintal,,quintal,182.46
ARR0006650,2026-09-06,MANDI043,Rice,Local,18275.0,KG,128.0,kg,182.75
ARR0002363,2026-03-09,MANDI026,Maize,Pusa-1121,23947.0,KGS,29.0,kgs,239.47
ARR0010446,2026-05-08,MANDI026,Maize,Pusa-1121,17.899,tonnes,21.0,tonnes,178.99
ARR0009069,2026-05-15,MANDI022,Cotton,Pusa-1121,5918.0,Kilo,76.0,kilo,59.18
ARR0020854,2026-06-18,MANDI035,Sugarcane,Pusa-1121,158.72,Q,,q,158.72
ARR0023442,2026-05-20,MANDI056,Cotton,,25827.999999999996,KGS,73.0,kgs,258.28
ARR0011135,2026-06-20,MANDI035,Rice,Premium,37.528,T,138.0,t,375.28
ARR0000197,2026-05-20,MANDI001,Cotton,HD-2967,76.9 qtl,,118.0,qtl,76.9
ARR0001203,2026-04-04,MANDI045,Cotton,PBW-343,2683.0,KGS,12.0,kgs,26.830000000000002
ARR0009407,2026-04-05,MANDI051,Mustard,Local,108.06,Quintals,78.0,quintals,108.06
ARR0013714,2026-03-31,MANDI038,Cotton,Premium,37.288,Tonnes,41.0,tonnes,372.88
ARR0002798,2026-04-08,MANDI043,Cotton,Hybrid,354.98,Q,11.0,q,354.98
ARR0006770,2026-06-25,MANDI015,Wheat,Hybrid,141.83,Quintals,134.0,quintals,141.83
ARR0019634,2026-03-25,MANDI013,Cotton,,18.137,tonnes,45.0,tonnes,181.37
ARR0012525,2026-06-25,MANDI043,Maize,Premium,334.11,Q,119.0,q,334.11
ARR0016292,2026-02-05,MANDI049,Maize,Pusa-1121,41458.0,kg,36.0,kg,414.58
ARR0019272,2026-03-05,MANDI030,Sugarcane,Local,"39,083.0 KG",,104.0,kg,390.83
ARR0004049,2026-04-13,MANDI003,Rice,Pusa-1121,21412.0,KG,56.0,kg,214.12
ARR0002716,2026-07-17,MANDI057,Sugarcane,Hybrid,41389.0,Kgs,106.0,kgs,413.89
ARR0014184,2026-02-12,MANDI037,Mustard,PBW-343,"35,649.0 KG",,,kg,356.49
ARR0008333,2026-01-15,MANDI054,Wheat,,-357.18,KG,133.0,kg,
ARR0000429,2026-08-25,MANDI039,Cotton,Hybrid,12.656,MT,76.0,mt,126.56
ARR0024925,2026-08-04,MANDI024,Wheat,,18344.0,KG,83.0,kg,183.44
ARR0019727,2026-04-30,MANDI034,Cotton,PBW-343,40381.0,KGS,81.0,kgs,403.81
ARR0002477,2026-03-28,MANDI020,Rice,Local,31.139,tonnes,150.0,tonnes,311.39
ARR0000342,2026-06-17,MANDI033,Cotton,Premium,191.48,Q,30.0,q,191.48
ARR0023820,2026-07-25,MANDI029,Mustard,Local,27200.0,KGS,,kgs,272.0
ARR0010204,2026-07-21,MANDI006,Rice,,2584.0,Kgs,102.0,kgs,25.84
ARR0000398,2026-03-25,MANDI029,Maize,PBW-343,20.63 qtl,,44.0,qtl,20.63
ARR0020708,2026-06-01,MANDI054,Cotton,Hybrid,41.019999999999996,MT,60.0,mt,410.19999999999993
ARR0020105,2026-02-19,MANDI028,Mustard,Pusa-1121,48.563,Tonnes,60.0,tonnes,485.63
ARR0019842,2026-03-30,MANDI056,Sugarcane,Pusa-1121,2948.0,Kgs,112.0,kgs,29.48
ARR0014214,2026-02-21,MANDI031,Sugarcane,Hybrid,478.99 qtl,,123.0,qtl,478.99
ARR0017781,2026-05-24,MANDI031,Sugarcane,PBW-343,46065.0,kg,46.0,kg,460.65000000000003
ARR0009910,2026-04-28,MANDI041,Cotton,Pusa-1121,372.43,Q,42.0,q,372.43
ARR0008506,2026-02-03,MANDI024,Rice,Hybrid,74.11,Qtl,96.0,qtl,74.11
ARR0023886,2026-07-12,MANDI011,Maize,Local,15663.999999999998,KG,14.0,kg,156.64
ARR0006149,2026-04-27,MANDI041,Cotton,Pusa-1121,4638.0,kg,103.0,kg,46.38
ARR0023964,2026-07-20,MANDI008,Rice,,81.67,qtl,,qtl,81.67
ARR0003143,2026-08-24,MANDI034,Rice,HD-2967,401.5 qtl,,113.0,qtl,401.5
ARR0002588,2026-05-06,MANDI040,Mustard,,4.489,MT,137.0,mt,44.89
ARR0002948,2026-02-18,MANDI019,Wheat,,"12,646.0 KG",,146.0,kg,126.46000000000001
ARR0015103,2026-02-22,MANDI050,Cotton,Pusa-1121,24245.0,Kgs,73.0,kgs,242.45000000000002
ARR0011288,2026-01-04,MANDI043,Cotton,Pusa-1121,27258.999999999996,kg,43.0,kg,272.59
ARR0009656,2026-01-04,MANDI018,Sugarcane,HD-2967,"7,537.0 KG",,,kg,75.37
ARR0002899,2026-07-23,MANDI017,Cotton,Hybrid,"41,341.0 KG",,134.0,kg,413.41
ARR0013711,2026-03-29,MANDI028,Sugarcane,Hybrid,47.79,Q,15.0,q,47.79
ARR0009578,2026-04-12,MANDI016,Maize,Pusa-1121,309.79,Qtl,20.0,qtl,309.79
ARR0005981,2026-04-05,MANDI004,Rice,Premium,22842.0,kg,145.0,kg,228.42000000000002
ARR0023291,2026-02-11,MANDI020,Wheat,Premium,80.86,Q,89.0,q,80.86
ARR0009654,2026-03-13,MANDI030,Sugarcane,,"24,318.0 KG",,31.0,kg,243.18
ARR0012458,2026-05-08,MANDI039,Mustard,Pusa-1121,276.83,Quintals,24.0,quintals,276.83
ARR0014621,2026-05-23,MANDI056,Sugarcane,Local,"26,952.999999999996 KG",,80.0,kg,269.53
ARR0016696,2026-01-31,MANDI039,Maize,Pusa-1121,6202.0,Kilo,132.0,kilo,62.02
ARR0004195,2026-07-17,MANDI035,Mustard,PBW-343,16784.0,Kilo,129.0,kilo,167.84
ARR0014009,2026-08-04,MANDI007,Maize,,418.67,quintal,85.0,quintal,418.67
ARR0002509,2026-05-31,MANDI013,Maize,HD-2967,2.2,tonnes,141.0,tonnes,22.0
ARR0017972,2026-02-26,MANDI034,Rice,Local,29339.999999999996,kg,6.0,kg,293.4
ARR0002169,2026-01-09,MANDI039,Rice,Hybrid,-54.89,KG,41.0,kg,
ARR0003269,2026-04-03,MANDI046,Rice,PBW-343,41.098,tonnes,43.0,tonnes,410.98
ARR0009004,2026-03-27,MANDI023,Wheat,,-455.48,KG,120.0,kg,
ARR0018741,2026-02-20,MANDI056,Sugarcane,Premium,256.67,Qtl,31.0,qtl,256.67
ARR0014531,2026-02-03,MANDI036,Cotton,,-453.42,KG,38.0,kg,
ARR0003705,2026-04-10,MANDI002,Mustard,Hybrid,24.500999999999998,T,,t,245.01
ARR0010827,2026-05-29,MANDI016,Rice,Premium,156.22,Qtl,95.0,qtl,156.22
ARR0018637,2026-04-04,MANDI046,Rice,Hybrid,-77.12,Qtl,67.0,qtl,
ARR0007570,2026-07-29,MANDI019,Mustard,Premium,32635.000000000004,kg,105.0,kg,326.35
ARR0011179,2026-03-30,MANDI040,Mustard,,32.755,Tonnes,26.0,tonnes,327.55
ARR0009296,2026-05-10,MANDI001,Maize,,2.35,MT,,mt,23.5
ARR0019940,2026-08-21,MANDI022,Sugarcane,HD-2967,1.6329999999999998,Tonnes,68.0,tonnes,16.33
ARR0004811,2026-05-26,MANDI020,Rice,Hybrid,8974.0,Kilo,77.0,kilo,89.74
ARR0020960,2026-03-03,MANDI047,Mustard,Premium,32314.999999999996,Kilo,,kilo,323.15
ARR0002791,2026-02-06,MANDI055,Mustard,PBW-343,21128.0,Kgs,47.0,kgs,211.28
ARR0012957,2026-10-02,MANDI019,Rice,Local,27.808,Tonnes,36.0,tonnes,278.08
ARR0022933,2026-04-08,MANDI037,Cotton,Premium,28.54 qtl,,9.0,qtl,28.54
ARR0014544,2026-07-31,MANDI022,Maize,Pusa-1121,11.488,MT,116.0,mt,114.88
ARR0013198,2026-04-25,MANDI010,Wheat,Pusa-1121,59.22,Qtl,43.0,qtl,59.22
ARR0007340,2026-03-23,MANDI012,Wheat,Premium,21570.0,Kgs,80.0,kgs,215.70000000000002
ARR0020658,2026-01-08,MANDI021,Rice,Hybrid,40.966,MT,96.0,mt,409.66
ARR0001088,2026-05-07,MANDI017,Mustard,Pusa-1121,495.58,qtl,94.0,qtl,495.58
ARR0024650,2026-08-18,MANDI049,Mustard,Hybrid,-11.34,KG,61.0,kg,
ARR0008152,2026-06-08,MANDI008,Cotton,,188.7 qtl,,147.0,qtl,188.7
ARR0021890,2026-02-06,MANDI009,Sugarcane,,493.91,quintal,84.0,quintal,493.91
ARR0007925,2026-07-19,MANDI037,Mustard,Local,66.2 qtl,,32.0,qtl,66.2
ARR0017611,2026-04-12,MANDI024,Maize,Hybrid,165.63,Quintals,77.0,quintals,165.63
ARR0016207,2026-07-07,MANDI032,Maize,Pusa-1121,"31,000.0 KG",,34.0,kg,310.0
ARR0024181,2026-05-07,MANDI015,Sugarcane,Local,110.39,Qtl,20.0,qtl,110.39
ARR0004419,2026-03-21,MANDI006,Sugarcane,Hybrid,64.7,qtl,105.0,qtl,64.7
ARR0006199,2026-02-11,MANDI053,Sugarcane,Local,153.27,qtl,79.0,qtl,153.27
ARR0014957,2026-01-09,MANDI019,Mustard,Hybrid,40396.0,KG,79.0,kg,403.96000000000004
ARR0023574,2026-02-26,MANDI023,Mustard,Premium,431.18,quintal,129.0,quintal,431.18
ARR0017021,2026-03-14,MANDI020,Rice,Pusa-1121,2536.0,Kgs,72.0,kgs,25.36
ARR0001428,2026-07-10,MANDI024,Maize,Hybrid,-77.75,Qtl,106.0,qtl,
ARR0002493,2026-04-14,MANDI006,Rice,Local,-115.25,KG,63.0,kg,
ARR0013505,2026-06-06,MANDI052,Mustard,,96.35,quintal,,quintal,96.35
ARR0002010,2026-03-21,MANDI033,Wheat,Local,-432.01,KG,12.0,kg,
ARR0002534,2026-07-02,MANDI007,Mustard,Pusa-1121,4.398,tonnes,21.0,tonnes,43.98
ARR0009802,2026-09-07,MANDI026,Cotton,HD-2967,486.01,Quintals,12.0,quintals,486.01
ARR0015940,2026-03-13,MANDI028,Maize,,298.47,quintal,18.0,quintal,298.47
ARR0005817,2026-03-20,MANDI013,Maize,,287.47 qtl,,12.0,qtl,287.47
ARR0023731,2026-03-15,MANDI008,Sugarcane,HD-2967,38.977999999999994,tonnes,,tonnes,389.78
ARR0018857,2026-01-25,MANDI042,Sugarcane,Hybrid,151.28,Quintals,113.0,quintals,151.28
ARR0010088,2026-01-09,MANDI049,Mustard,PBW-343,-136.17,Qtl,,qtl,
ARR0020189,2026-05-24,MANDI057,Maize,,241.75,Quintals,68.0,quintals,241.75
ARR0022768,2026-06-28,MANDI024,Mustard,Premium,44371.0,Kilo,42.0,kilo,443.71000000000004
ARR0018919,2026-03-17,MANDI024,Mustard,,7806.999999999999,Kgs,132.0,kgs,78.07
ARR0006562,2026-04-19,MANDI014,Wheat,PBW-343,"25,811.0 KG",,25.0,kg,258.11
ARR0004149,2026-06-04,MANDI003,Rice,Premium,318.3,Q,48.0,q,318.3
ARR0024592,2026-08-28,MANDI037,Rice,PBW-343,62.98 qtl,,55.0,qtl,62.98
ARR0011429,2026-08-04,MANDI042,Wheat,Local,19312.0,KGS,101.0,kgs,193.12
ARR0018153,2026-02-05,MANDI027,Cotton,Local,45102.0,KGS,141.0,kgs,451.02
ARR0006286,2026-03-03,MANDI050,Maize,PBW-343,"30,038.0 KG",,7.0,kg,300.38
ARR0000231,2026-07-06,MANDI049,Sugarcane,Hybrid,185.56 qtl,,82.0,qtl,185.56
ARR0018527,2026-08-01,MANDI010,Wheat,Local,42538.0,kg,144.0,kg,425.38
ARR0008215,2026-05-22,MANDI003,Sugarcane,Local,"7,380.0 KG",,73.0,kg,73.8
ARR0010793,2026-08-23,MANDI022,Rice,Hybrid,42.579,T,132.0,t,425.79
ARR0006601,2026-06-22,MANDI015,Mustard,HD-2967,-147.26,KG,5.0,kg,
ARR0023800,2026-09-09,MANDI012,Sugarcane,PBW-343,"1,900.0 KG",,123.0,kg,19.0
ARR0021788,2026-06-07,MANDI016,Sugarcane,Hybrid,15.366999999999999,T,143.0,t,153.67
ARR0019846,2026-06-21,MANDI024,Maize,Pusa-1121,25970.999999999996,Kgs,40.0,kgs,259.71
ARR0015205,2026-01-25,MANDI011,Rice,HD-2967,355.64,Quintals,56.0,quintals,355.64
ARR0008780,2026-01-30,MANDI038,Rice,PBW-343,"38,516.0 KG",,130.0,kg,385.16
ARR0006070,2026-06-06,MANDI034,Wheat,,31.294,Tonnes,65.0,tonnes,312.94
ARR0002035,2026-06-06,MANDI049,Maize,,15.395,tonnes,97.0,tonnes,153.95
ARR0002214,2026-01-24,MANDI044,Maize,Pusa-1121,2592.0,Kilo,112.0,kilo,25.92
ARR0017078,2026-06-29,MANDI007,Mustard,Pusa-1121,"31,873.0 KG",,31.0,kg,318.73
ARR0004860,2026-03-30,MANDI013,Mustard,Hybrid,9.693000000000001,MT,143.0,mt,96.93
ARR0024883,2026-07-18,MANDI028,Maize,Hybrid,29.87 qtl,,131.0,qtl,29.87
ARR0012995,2026-06-04,MANDI057,Mustard,,38554.0,Kilo,26.0,kilo,385.54
ARR0002230,2026-05-31,MANDI033,Wheat,Pusa-1121,36.46,tonnes,127.0,tonnes,364.6
ARR0002276,2026-08-30,MANDI057,Sugarcane,,-143.27,KG,113.0,kg,
ARR0005679,2026-03-03,MANDI015,Cotton,Hybrid,140.36,Q,51.0,q,140.36
ARR0018820,2026-05-10,MANDI032,Mustard,Premium,181.14 qtl,,116.0,qtl,181.14
ARR0002749,2026-01-24,MANDI031,Rice,,118.37 qtl,,,qtl,118.37
ARR0010291,2026-06-21,MANDI036,Cotton,PBW-343,456.27 qtl,,118.0,qtl,456.27
ARR0004786,2026-08-01,MANDI015,Sugarcane,,18558.0,kg,51.0,kg,185.58
ARR0004085,2026-05-19,MANDI056,Maize,PBW-343,106.05,Qtl,38.0,qtl,106.05
ARR0001476,2026-05-19,MANDI048,Sugarcane,Local,323.65,qtl,68.0,qtl,323.65
ARR0014866,2026-04-15,MANDI032,Sugarcane,PBW-343,402.65,Quintals,53.0,quintals,402.65
ARR0005733,2026-09-08,MANDI048,Sugarcane,Hybrid,118.61 qtl,,42.0,qtl,118.61
ARR0014885,2026-07-26,MANDI035,Rice,Premium,441.08,Quintals,14.0,quintals,441.08
ARR0009501,2026-05-18,MANDI045,Maize,PBW-343,"45,235.0 KG",,62.0,kg,452.35
ARR0017324,2026-01-30,MANDI029,Mustard,Premium,31141.000000000004,KG,140.0,kg,311.41
ARR0018785,2026-09-08,MANDI009,Wheat,Premium,16.848,T,81.0,t,168.48
ARR0014174,2026-04-23,MANDI031,Sugarcane,,24635.0,Kgs,83.0,kgs,246.35
ARR0012348,2026-05-16,MANDI057,Maize,Pusa-1121,2.8,Tonnes,,tonnes,28.0
ARR0002860,2026-08-25,MANDI038,Rice,,16244.0,KG,90.0,kg,162.44
ARR0012382,2026-06-29,MANDI011,Mustard,Hybrid,3.6390000000000002,Tonnes,,tonnes,36.39
ARR0011204,2026-03-10,MANDI045,Maize,PBW-343,31170.0,kg,,kg,311.7
ARR0005655,2026-09-01,MANDI025,Rice,Premium,46.13,tonnes,124.0,tonnes,461.3
ARR0023591,2026-05-18,MANDI039,Cotton,HD-2967,160.01,Qtl,50.0,qtl,160.01
ARR0022554,2026-03-11,MANDI055,Rice,Hybrid,33341.0,KG,24.0,kg,333.41
ARR0024390,2026-05-08,MANDI042,Rice,,39363.0,kg,7.0,kg,393.63
ARR0008952,2026-04-25,MANDI002,Sugarcane,Pusa-1121,394.35,Qtl,89.0,qtl,394.35
ARR0013573,2026-06-08,MANDI015,Sugarcane,Hybrid,408.09 qtl,,6.0,qtl,408.09
ARR0023352,2026-06-06,MANDI044,Wheat,,25.205000000000002,T,6.0,t,252.05
ARR0004259,2026-10-07,MANDI012,Cotton,,38822.0,kg,22.0,kg,388.22
ARR0024540,2026-06-14,MANDI035,Sugarcane,HD-2967,38.59,Quintals,,quintals,38.59
ARR0012558,2026-08-21,MANDI034,Cotton,Premium,"33,176.0 KG",,7.0,kg,331.76
ARR0013252,2026-07-30,MANDI003,Cotton,HD-2967,-217.71,KG,93.0,kg,
ARR0012739,2026-07-30,MANDI045,Rice,,-388.99,Qtl,,qtl,
ARR0024633,2026-03-13,MANDI011,Rice,PBW-343,18.99 qtl,,23.0,qtl,18.99
ARR0016432,2026-02-19,MANDI027,Cotton,Premium,480.16,quintal,128.0,quintal,480.16
ARR0001973,2026-08-01,MANDI040,Mustard,PBW-343,43559.0,Kgs,115.0,kgs,435.59000000000003
ARR0019423,2026-01-31,MANDI039,Mustard,Premium,29.219,Tonnes,148.0,tonnes,292.19
ARR0018095,2026-06-03,MANDI017,Rice,HD-2967,"45,987.0 KG",,104.0,kg,459.87
ARR0002502,2026-06-23,MANDI041,Rice,Premium,12.386,T,63.0,t,123.85999999999999
ARR0020339,2026-03-31,MANDI028,Mustard,PBW-343,1084.0,Kilo,127.0,kilo,10.84
ARR0007666,2026-07-31,MANDI053,Wheat,,258.79,qtl,69.0,qtl,258.79
ARR0000753,2026-07-11,MANDI008,Wheat,Pusa-1121,48146.0,Kilo,36.0,kilo,481.46000000000004
ARR0009620,2026-07-19,MANDI017,Maize,PBW-343,41.35,qtl,33.0,qtl,41.35
ARR0004038,2026-07-14,MANDI040,Rice,PBW-343,355.78,Quintals,69.0,quintals,355.78
ARR0003704,2026-01-01,MANDI010,Cotton,Premium,-34.57,KG,7.0,kg,
ARR0008822,2026-06-20,MANDI043,Mustard,Hybrid,341.77 qtl,,31.0,qtl,341.77
ARR0005546,2026-09-05,MANDI014,Wheat,PBW-343,"29,336.0 KG",,137.0,kg,293.36
ARR0014760,2026-01-20,MANDI047,Maize,Pusa-1121,40.72,MT,,mt,407.2
ARR0008484,2026-09-04,MANDI039,Sugarcane,Pusa-1121,49169.0,KGS,63.0,kgs,491.69
ARR0007108,2026-02-28,MANDI055,Maize,PBW-343,22.572,T,108.0,t,225.72
ARR0000675,2026-07-02,MANDI050,Cotton,HD-2967,176.92,qtl,12.0,qtl,176.92
ARR0005515,2026-02-24,MANDI054,Mustard,,178.87,Qtl,70.0,qtl,178.87
ARR0023195,2026-05-01,MANDI036,Mustard,Premium,40.870999999999995,MT,136.0,mt,408.7099999999999
ARR0008616,2026-01-20,MANDI004,Mustard,Local,155.42,qtl,147.0,qtl,155.42
ARR0011388,2026-06-08,MANDI016,Mustard,Pusa-1121,"10,959.0 KG",,40.0,kg,109.59
ARR0009854,2026-02-06,MANDI011,Maize,HD-2967,"39,228.0 KG",,136.0,kg,392.28000000000003
ARR0024014,2026-04-21,MANDI017,Sugarcane,Hybrid,17.15,T,73.0,t,171.5
ARR0006483,2026-04-29,MANDI034,Sugarcane,,189.87,Qtl,93.0,qtl,189.87
ARR0020999,2026-08-29,MANDI013,Cotton,Pusa-1121,276.65 qtl,,73.0,qtl,276.65
ARR0003190,2026-08-09,MANDI027,Mustard,,44.707,MT,109.0,mt,447.07
ARR0013399,2026-04-05,MANDI045,Wheat,Premium,415.6,Q,43.0,q,415.6
ARR0018530,2026-08-31,MANDI008,Cotton,,"5,680.0 KG",,108.0,kg,56.800000000000004
ARR0005184,2026-02-11,MANDI026,Wheat,Local,1.057,MT,,mt,10.57
ARR0023040,2026-02-19,MANDI038,Cotton,PBW-343,355.5,Qtl,18.0,qtl,355.5
ARR0010762,2026-03-07,MANDI038,Cotton,Pusa-1121,29679.000000000004,Kgs,140.0,kgs,296.79
ARR0022839,2026-06-07,MANDI024,Wheat,Premium,-322.05,Qtl,59.0,qtl,
ARR0000200,2026-03-26,MANDI031,Wheat,,37.063,tonnes,117.0,tonnes,370.63
ARR0018054,2026-02-03,MANDI021,Cotton,,71.58,quintal,126.0,quintal,71.58
ARR0021355,2026-01-07,MANDI053,Sugarcane,Local,34856.0,Kilo,8.0,kilo,348.56
ARR0009384,2026-05-12,MANDI038,Rice,Premium,222.33 qtl,,141.0,qtl,222.33
ARR0008050,2026-04-27,MANDI022,Wheat,,22936.0,KG,107.0,kg,229.36
ARR0016904,2026-08-26,MANDI021,Cotton,Pusa-1121,"18,828.0 KG",,149.0,kg,188.28
ARR0021340,2026-03-10,MANDI021,Wheat,HD-2967,13321.0,Kilo,77.0,kilo,133.21
ARR0013462,2026-05-27,MANDI035,Mustard,Local,48838.0,KGS,102.0,kgs,488.38
ARR0013518,2026-08-03,MANDI024,Wheat,Local,32.26,qtl,22.0,qtl,32.26
ARR0022679,2026-06-22,MANDI022,Rice,Premium,310.12,Q,,q,310.12
ARR0021328,2026-06-17,MANDI011,Rice,HD-2967,30.291000000000004,Tonnes,87.0,tonnes,302.91
ARR0002215,2026-06-21,MANDI018,Mustard,PBW-343,"40,388.0 KG",,14.0,kg,403.88
