record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,mandi_name,state,price_gap,price_gap_percent,below_msp,severity,severity_note
PR011111,2026-01-01,MANDI043,Agra,Wheat,2207.6928598025,,2287.0,,Danapur Mandi,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010500,2026-01-01,MANDI044,Agra,Maize,2093.5,2547.81,2321.0,2090.0,Dehri Mandi,Uttar Pradesh,231.0,11.05,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008883,2026-01-01,MANDI044,Agra,Maize,1996.47,2287.58,2142.02,2090.0,Dehri Mandi,Uttar Pradesh,52.02,2.49,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008981,2026-01-01,MANDI044,Agra,Mustard,5148.0,6387.23,5767.6,5650.0,Dehri Mandi,Uttar Pradesh,117.6,2.08,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002036,2026-01-01,MANDI044,Agra,Wheat,2279.54,2429.8651463519,2355.0,2275.0,Dehri Mandi,Uttar Pradesh,80.0,3.52,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001787,2026-01-01,MANDI046,Unknown,Maize,1953.0,2245.76,2099.0,,Baranagar Market,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR000435,2026-01-01,MANDI047,Muzaffarnagar,Cotton,5734.0,6167.06,5950.3,6620.0,Orai Market,Uttar Pradesh,-669.7,-10.12,1.0,SEVERE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003192,2026-01-01,MANDI047,Muzaffarnagar,Sugarcane,3056.64,3611.39,3334.0,3500.0,Orai Market,Uttar Pradesh,-166.0,-4.74,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007416,2026-01-01,MANDI049,Muzaffarnagar,Rice,2204.08,2401.0,2302.39,,Machilipatnam Mandi,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010869,2026-01-01,MANDI052,Saharanpur,Mustard,5615.0,6480.56,6047.8379474047,5650.0,Kakinada APMC,Uttar Pradesh,397.84,7.04,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004093,2026-01-01,MANDI054,Saharanpur,Mustard,4935.33,5934.51,5434.92,,Nangloi Jat Grain Market,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004115,2026-01-01,MANDI055,Bareilly,Maize,2082.74,2593.6,2338.17,2090.0,Chandigarh APMC,Uttar Pradesh,248.17,11.87,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006844,2026-01-01,MANDI055,Bareilly,Wheat,,2392.64,2257.69,2275.0,Chandigarh APMC,Uttar Pradesh,-17.31,-0.76,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008686,2026-01-01,MANDI057,Bareilly,Maize,2134.91,2353.06,2243.98,2090.0,Gorakhpur APMC,Uttar Pradesh,153.98,7.37,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005680,2026-01-01,MANDI057,Bareilly,Wheat,2057.0,2516.3887336465,2286.56,,Gorakhpur APMC,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003521,2026-01-01,,Ambala,Cotton,5647.19,6898.0,6272.0,6620.0,,,-348.0,-5.26,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009318,2026-01-01,,Amritsar,Maize,,2178.08,2056.8502747148,,,,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006909,2026-01-01,,Ambala,Rice,1871.0,1971.84,1921.0,2183.0,,,-262.0,-12.0,1.0,SEVERE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002307,2026-01-01,,Patiala,Sugarcane,3470.52,3855.0,3662.98,3500.0,,,162.98,4.66,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001927,2026-01-01,,Ludhiana,Sugarcane,3218.47,3418.85,3318.66,3500.0,,,-181.34,-5.18,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005219,2026-01-02,MANDI002,Ludhiana,Sugarcane,3045.86,3621.19,3333.525062274,3500.0,Solapur Mandi,Punjab,-166.47,-4.76,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007855,2026-01-02,MANDI003,Ludhiana,Sugarcane,3397.86,3717.0,3557.0,3500.0,Vijayawada Mandi,Punjab,57.0,1.63,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009976,2026-01-02,MANDI005,Amritsar,Wheat,2058.71,2320.25,2189.0,2275.0,Bhilwara Grain Market,Punjab,-86.0,-3.78,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR011987,2026-01-02,MANDI007,Amritsar,Maize,1799.0,1980.19,1889.0,2090.0,Nashik Mandi,Punjab,-201.0,-9.62,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010579,2026-01-02,MANDI007,Amritsar,Sugarcane,3274.0,3961.86,3618.0,3500.0,Nashik Mandi,Punjab,118.0,3.37,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001488,2026-01-02,MANDI007,Amritsar,Sugarcane,3108.8,3709.0,3408.92,3500.0,Nashik Mandi,Punjab,-91.08,-2.6,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001531,2026-01-02,MANDI008,Amritsar,Mustard,,6316.0,5861.7,,Bijapur Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002694,2026-01-02,MANDI008,Amritsar,Rice,1931.31,,2087.26,2183.0,Bijapur Market,Punjab,-95.74,-4.39,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008667,2026-01-02,MANDI008,Amritsar,Sugarcane,3320.0,3759.0,3539.44,3500.0,Bijapur Market,Punjab,39.44,1.13,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004791,2026-01-02,MANDI010,Jalandhar,Sugarcane,3498.0,3930.94,3714.65,,Dhule APMC,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007041,2026-01-02,MANDI010,Jalandhar,Wheat,1952.8,2083.0,2017.9558562001,,Dhule APMC,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005069,2026-01-02,MANDI013,Patiala,Rice,1993.11,2097.48,2045.29,,Aurangabad Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008096,2026-01-02,MANDI015,Bathinda,Cotton,,6619.95,6217.0,6620.0,Amravati Grain Market,Punjab,-403.0,-6.09,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006560,2026-01-02,MANDI015,Bathinda,Maize,2049.0,2376.19,2212.54,2090.0,Amravati Grain Market,Punjab,122.54,5.86,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002871,2026-01-02,MANDI022,Karnal,Wheat,2315.8725113478,2677.49,2496.6798718709,2275.0,Eluru APMC,Haryana,221.68,9.74,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010110,2026-01-02,MANDI029,Sirsa,Sugarcane,3391.57,3720.25,3555.91,3500.0,Asansol Grain Market,Haryana,55.91,1.6,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001234,2026-01-02,MANDI031,Sirsa,Cotton,5671.73,6777.3,6224.51,6620.0,Nangloi Jat Mandi,Haryana,-395.49,-5.97,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003584,2026-01-02,MANDI031,Sirsa,Wheat,2302.97,2842.62,2572.8,2275.0,Nangloi Jat Mandi,Haryana,297.8,13.09,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009769,2026-01-02,MANDI031,Sirsa,Wheat,2223.05,2744.3,2483.67,2275.0,Nangloi Jat Mandi,Haryana,208.67,9.17,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009962,2026-01-02,MANDI035,Ambala,Sugarcane,3572.95,4096.59,3834.77,3500.0,Guntakal Mandi,Haryana,334.77,9.56,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003443,2026-01-02,MANDI036,Kurukshetra,Wheat,2377.75,2871.95,2624.85,2275.0,Mysore Grain Market,Haryana,349.85,15.38,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004321,2026-01-02,MANDI041,Fatehabad,Wheat,2131.5417704342,2644.49,2388.0,2275.0,Gurgaon Grain Market,Haryana,113.0,4.97,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004284,2026-01-02,MANDI042,Fatehabad,Sugarcane,3237.432897222,3944.5645404868,3591.0,3500.0,Erode Mandi,Haryana,91.0,2.6,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001988,2026-01-02,MANDI042,Fatehabad,Sugarcane,3410.0,4251.57,3830.61,3500.0,Erode Mandi,Haryana,330.61,9.45,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008483,2026-01-02,MANDI045,Meerut,Mustard,5774.12,6147.0,5960.43,5650.0,Farrukhabad Mandi,Uttar Pradesh,310.43,5.49,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010597,2026-01-02,MANDI046,Unknown,Cotton,5773.0,6543.54,6158.47,,Baranagar Market,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001198,2026-01-02,MANDI046,Unknown,Wheat,2217.0,2652.0,,2275.0,Baranagar Market,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007307,2026-01-02,MANDI052,Saharanpur,Mustard,5746.0,7164.0,6455.36,5650.0,Kakinada APMC,Uttar Pradesh,805.36,14.25,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008474,2026-01-02,MANDI053,Saharanpur,Cotton,5726.43,6303.78,,,Panihati Market,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR010169,2026-01-02,,Fatehabad,Maize,2112.0,2265.19,2188.69,2090.0,,,98.69,4.72,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001761,2026-01-02,,Bathinda,Sugarcane,3016.22,3490.33,3253.27,3500.0,,,-246.73,-7.05,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004602,2026-01-03,MANDI002,Ludhiana,Mustard,5771.2423002244,6931.5169167167,6351.38,5650.0,Solapur Mandi,Punjab,701.38,12.41,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR003121,2026-01-03,MANDI004,Ludhiana,Cotton,6713.61,7482.19,7097.900917351,6620.0,Khandwa Grain Market,Punjab,477.9,7.22,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007244,2026-01-03,MANDI008,Amritsar,Sugarcane,3155.6016989376,3654.1,3404.8529140118,3500.0,Bijapur Market,Punjab,-95.15,-2.72,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007704,2026-01-03,MANDI012,Patiala,Mustard,4983.76,6212.94,5598.35,,Gaya Grain Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006144,2026-01-03,MANDI016,Bathinda,Cotton,6903.0,7869.6083705603,7386.3,6620.0,Kulti APMC,Punjab,766.3,11.58,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006329,2026-01-03,MANDI017,Unknown,Wheat,,2223.14,2113.1732090719,,Parbhani Market,Punjab,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002126,2026-01-03,MANDI019,Moga,Rice,1950.0555024938,2311.34,2130.7,2183.0,Karimnagar Grain Market,Punjab,-52.3,-2.4,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR000317,2026-01-03,MANDI021,Ferozepur,Cotton,5950.0,7178.0,6564.0,6620.0,Guna Mandi,Punjab,-56.0,-0.85,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006356,2026-01-03,MANDI022,Karnal,Wheat,1965.0,2250.49,2107.59,2275.0,Eluru APMC,Haryana,-167.41,-7.36,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005465,2026-01-03,MANDI025,Karnal,Wheat,,2646.62,2425.37,2275.0,Dindigul APMC,Haryana,150.37,6.61,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007556,2026-01-03,MANDI029,Sirsa,Mustard,5174.0,5851.79,5513.0,,Asansol Grain Market,Haryana,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008370,2026-01-03,MANDI030,Sirsa,Sugarcane,,4022.01,3654.57,3500.0,Patiala APMC,Haryana,154.57,4.42,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006145,2026-01-03,MANDI033,Ambala,Cotton,6807.556325646,7816.07,7311.81,6620.0,South Dumdum Grain Market,Haryana,691.81,10.45,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004184,2026-01-03,MANDI037,Kurukshetra,Maize,1937.9,2369.2,2153.55,2090.0,Jorhat Grain Market,Haryana,63.55,3.04,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008905,2026-01-03,MANDI039,Unknown,Rice,1943.44,2131.35,2037.0,2183.0,Anand Grain Market,Haryana,-146.0,-6.69,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008930,2026-01-03,MANDI042,Fatehabad,Mustard,5697.91,6040.0,5869.2,5650.0,Erode Mandi,Haryana,219.2,3.88,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR002802,2026-01-03,MANDI042,Fatehabad,Sugarcane,3341.62,3969.0,3655.22,,Erode Mandi,Haryana,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004190,2026-01-03,MANDI043,Agra,Rice,1989.4,2093.0,2041.0,2183.0,Danapur Mandi,Uttar Pradesh,-142.0,-6.5,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004227,2026-01-03,MANDI045,Meerut,Sugarcane,3041.0,3580.51,3310.5851970402,,Farrukhabad Mandi,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR009359,2026-01-03,MANDI047,Muzaffarnagar,Rice,2221.48,,2480.0,2183.0,Orai Market,Uttar Pradesh,297.0,13.61,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR005265,2026-01-03,MANDI048,Muzaffarnagar,Sugarcane,3167.0,3616.0,3391.32,3500.0,Chittoor Mandi,Uttar Pradesh,-108.68,-3.11,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007333,2026-01-03,MANDI049,Muzaffarnagar,Cotton,5737.0,6281.53,6009.49,6620.0,Machilipatnam Mandi,Uttar Pradesh,-610.51,-9.22,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008148,2026-01-03,MANDI050,Muzaffarnagar,Wheat,2065.7426505268,2357.97,2211.86,2275.0,Durg Market,Uttar Pradesh,-63.14,-2.78,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR004382,2026-01-03,MANDI051,Saharanpur,Maize,1957.6006262344,2079.0,2018.27,2090.0,Gulbarga Market,Uttar Pradesh,-71.73,-3.43,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR000427,2026-01-03,MANDI051,Saharanpur,Rice,2145.9473838778,2306.0,2226.08,2183.0,Gulbarga Market,Uttar Pradesh,43.08,1.97,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR006762,2026-01-03,MANDI052,Saharanpur,Maize,1989.7420256617,2196.0,2092.6528396933,2090.0,Kakinada APMC,Uttar Pradesh,2.65,0.13,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007322,2026-01-03,MANDI056,Bareilly,Rice,1922.06,2183.65,,,Bilaspur Mandi,Uttar Pradesh,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR001055,2026-01-03,MANDI056,Bareilly,Sugarcane,3461.39,4325.0,3893.18,3500.0,Bilaspur Mandi,Uttar Pradesh,393.18,11.23,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007014,2026-01-03,MANDI057,Bareilly,Rice,2018.0,2283.01,2150.58,2183.0,Gorakhpur APMC,Uttar Pradesh,-32.42,-1.49,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR008772,2026-01-03,MANDI057,Bareilly,Rice,2156.5032029497,2467.42,2311.96,2183.0,Gorakhpur APMC,Uttar Pradesh,128.96,5.91,0.0,ABOVE_OR_EQUAL_MSP,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR007990,2026-01-03,,Ambala,Cotton,5918.89,6220.7809189428,6069.84,,,,,,,UNKNOWN,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
PR011869,2026-01-03,,Moga,Cotton,6040.0,,6526.35,6620.0,,,-93.65,-1.41,1.0,MODERATE_CRASH,Illustrative analytical classification only; the -10% threshold is not an official policy or market threshold.
