date,district,rainfall_mm,temperature_celsius,humidity_percent,arrival_quantity_qtl,arrival_records
2026-01-03,Kurukshetra,18.41,29.49,52.6,698.75,4
2026-01-03,Ludhiana,35.2,25.2,77.0,2640.94,11
2026-01-03,Meerut,10.26,18.55,53.0,363.46,2
2026-01-03,Moga,35.81,39.0,63.0,819.41,3
2026-01-03,Muzaffarnagar,37.26,25.21,66.33,2329.79,9
2026-01-03,Patiala,6.7,23.1,61.0,1732.2,5
2026-01-03,Saharanpur,27.56,27.11,74.0,1755.53,8
2026-01-03,Sirsa,29.09,17.64,44.67,304.94,2
2026-01-03,Unknown,27.0,29.34,41.0,2049.08,9
2026-01-04,Agra,32.41,34.5,62.0,903.05,4
2026-01-04,Ambala,9.4,29.35,58.0,993.62,3
2026-01-04,Amritsar,11.09,27.17,65.0,275.38,2
2026-01-04,Bareilly,19.3,27.98,56.33,10.06,1
2026-01-04,Bathinda,28.8,34.1,65.0,1428.28,6
2026-01-04,Fatehabad,34.83,33.45,78.8,738.78,2
2026-01-04,Ferozepur,22.95,30.53,64.0,1634.09,5
2026-01-04,Hisar,32.86,28.59,69.67,828.64,5
2026-01-04,Jalandhar,26.87,27.84,58.25,604.05,2
2026-01-04,Karnal,31.3,31.15,55.0,207.82,1
2026-01-04,Kurukshetra,37.6,32.95,65.0,699.49,4
2026-01-04,Ludhiana,36.95,32.34,68.0,1122.32,4
2026-01-04,Meerut,11.25,27.3,63.5,623.65,3
2026-01-04,Moga,34.3,17.25,79.5,180.61,3
2026-01-04,Muzaffarnagar,31.4,22.4,89.0,3388.9,11
2026-01-04,Saharanpur,27.19,27.26,72.2,1720.42,7
2026-01-04,Sirsa,,20.7,80.0,767.91,4
2026-01-04,Unknown,39.37,32.4,50.0,524.61,4
2026-01-05,Agra,21.37,27.55,73.0,609.82,3
2026-01-05,Amritsar,27.35,30.05,59.0,3678.34,12
2026-01-05,Bareilly,22.23,27.73,66.0,2088.4,7
2026-01-05,Bathinda,1.8,22.35,46.5,1301.75,6
2026-01-05,Fatehabad,24.28,30.3,56.4,1721.44,10
2026-01-05,Ferozepur,37.7,22.14,61.5,1309.16,4
2026-01-05,Hisar,28.26,26.98,69.4,1441.76,6
2026-01-05,Karnal,30.9,28.15,51.0,1053.02,5
2026-01-05,Kurukshetra,41.66,28.53,76.0,772.26,4
2026-01-05,Ludhiana,12.47,26.93,49.5,1521.02,9
2026-01-05,Meerut,18.2,28.85,55.5,434.52,2
2026-01-05,Patiala,23.7,38.3,74.0,1836.48,6
2026-01-05,Saharanpur,23.2,36.4,,1888.4,7
2026-01-05,Sirsa,23.47,30.9,41.67,1786.33,5
2026-01-05,Unknown,21.93,28.88,67.25,1591.31,7
2026-01-06,Agra,20.2,24.5,64.0,104.89,2
2026-01-06,Ambala,39.6,21.8,58.0,1462.93,4
2026-01-06,Amritsar,44.45,30.1,81.0,1775.09,6
2026-01-06,Bareilly,20.25,27.61,79.5,1279.46,6
2026-01-06,Bathinda,24.0,25.65,57.5,998.09,5
2026-01-06,Fatehabad,29.87,24.11,58.33,158.63,2
2026-01-06,Ferozepur,35.27,27.75,55.0,236.24,2
2026-01-06,Hisar,42.34,28.52,43.67,385.25,2
2026-01-06,Jalandhar,20.0,23.28,62.17,162.54,1
2026-01-06,Karnal,8.7,29.4,72.0,1336.95,4
2026-01-06,Kurukshetra,22.33,28.79,60.8,1010.15,6
2026-01-06,Ludhiana,20.9,30.72,70.5,1608.28,6
2026-01-06,Meerut,18.04,26.32,71.2,913.06,3
2026-01-06,Moga,29.65,16.06,59.5,1239.21,4
2026-01-06,Patiala,23.05,34.52,48.6,1116.85,6
2026-01-06,Saharanpur,,34.4,34.0,1115.93,8
2026-01-06,Sirsa,24.76,23.55,39.0,838.88,5
2026-01-06,Unknown,26.1,22.3,92.0,2042.11,8
2026-01-07,Agra,24.96,23.4,57.0,1169.98,4
2026-01-07,Ambala,,16.8,88.0,2413.62,10
2026-01-07,Amritsar,12.86,26.11,62.4,1660.66,6
2026-01-07,Bathinda,17.99,29.2,72.75,1785.8,5
2026-01-07,Fatehabad,19.22,24.9,48.5,737.52,4
2026-01-07,Ferozepur,24.32,31.03,52.0,862.23,4
2026-01-07,Hisar,25.03,24.8,68.83,2159.98,8
2026-01-07,Jalandhar,12.33,30.42,51.2,468.1,1
2026-01-07,Karnal,24.54,24.75,57.67,496.73,4
2026-01-07,Kurukshetra,39.24,26.37,65.33,1483.49,5
2026-01-07,Ludhiana,21.96,27.38,53.11,2355.68,9
2026-01-07,Meerut,40.8,39.28,82.0,19.33,2
2026-01-07,Moga,25.51,28.7,44.67,2147.66,8
2026-01-07,Muzaffarnagar,24.73,26.27,81.33,946.76,5
2026-01-07,Patiala,15.5,37.2,45.0,1243.61,4
2026-01-07,Saharanpur,,37.7,,609.12,2
2026-01-07,Sirsa,33.16,21.67,42.33,717.85,4
2026-01-07,Unknown,,32.4,48.0,511.21,3
2026-01-08,Agra,15.95,27.14,78.0,1047.72,4
2026-01-08,Ambala,36.0,32.3,64.0,1280.58,4
2026-01-08,Amritsar,29.07,27.7,52.0,595.98,3
2026-01-08,Bareilly,14.07,28.56,75.0,1812.41,7
2026-01-08,Bathinda,14.76,27.76,63.75,1570.09,6
2026-01-08,Fatehabad,26.21,27.82,74.25,1901.27,7
2026-01-08,Ferozepur,1.27,26.06,56.0,1693.59,5
2026-01-08,Hisar,35.89,25.36,77.0,2351.46,8
2026-01-08,Jalandhar,31.62,27.89,66.33,847.97,3
2026-01-08,Karnal,19.8,22.07,90.33,1498.66,6
2026-01-08,Kurukshetra,33.83,27.9,61.33,2149.48,6
2026-01-08,Ludhiana,3.5,32.14,89.0,1561.09,7
2026-01-08,Meerut,27.94,22.44,65.33,185.07,1
2026-01-08,Moga,1.5,17.89,94.0,1298.75,3
2026-01-08,Muzaffarnagar,39.1,17.2,92.0,1196.29,5
2026-01-08,Patiala,,34.78,50.0,1670.28,10
2026-01-08,Sirsa,32.4,21.6,79.0,29.68,1
2026-01-08,Unknown,28.56,30.32,75.25,1435.86,5
2026-01-09,Agra,,33.7,63.0,1677.58,4
2026-01-09,Ambala,17.9,31.83,50.67,1404.98,6
2026-01-09,Amritsar,25.1,22.84,72.0,2072.84,7
2026-01-09,Bareilly,34.81,22.96,56.0,867.4,4
2026-01-09,Bathinda,21.49,24.45,52.83,513.65,2
2026-01-09,Fatehabad,12.1,34.0,93.0,1797.85,6
2026-01-09,Ferozepur,5.47,27.52,63.33,910.09,4
2026-01-09,Hisar,35.05,31.43,64.75,2713.94,8
2026-01-09,Jalandhar,11.1,28.13,66.0,352.15,3
2026-01-09,Karnal,21.52,27.36,69.25,1576.07,8
2026-01-09,Kurukshetra,22.49,31.92,60.0,1156.98,3
2026-01-09,Ludhiana,19.4,23.35,36.0,1500.1,8
2026-01-09,Meerut,26.65,35.94,48.5,689.83,2
2026-01-09,Muzaffarnagar,14.02,24.0,55.0,1523.43,7
2026-01-09,Patiala,12.5,30.78,68.25,1629.17,8
2026-01-09,Saharanpur,26.3,34.65,51.5,2111.33,9
2026-01-09,Sirsa,16.65,25.05,55.5,940.4,3
2026-01-09,Unknown,17.25,28.68,55.0,1498.25,8
2026-01-10,Agra,16.1,16.5,36.0,639.86,2
2026-01-10,Ambala,42.4,20.6,54.5,607.48,2
2026-01-10,Bareilly,25.1,30.14,49.67,107.43,2
2026-01-10,Bathinda,19.9,39.9,61.0,126.88,2
2026-01-10,Fatehabad,10.2,28.15,53.5,342.03,1
2026-01-10,Ferozepur,20.7,30.47,66.0,485.75,5
2026-01-10,Hisar,25.25,34.02,65.57,476.27,2
2026-01-10,Jalandhar,39.9,27.1,47.5,381.78,2
2026-01-10,Karnal,,36.5,67.0,1307.78,6
2026-01-10,Kurukshetra,21.86,26.92,55.0,719.26,2
2026-01-10,Ludhiana,9.73,27.45,69.0,1012.51,3
2026-01-10,Meerut,19.85,36.86,59.0,764.96,2
2026-01-10,Moga,10.7,23.78,80.0,13.58,1
2026-01-10,Patiala,21.05,26.18,56.29,904.27,4
2026-01-10,Saharanpur,30.87,27.33,63.8,1547.67,7
2026-01-10,Sirsa,46.8,27.89,,761.8,4
2026-01-10,Unknown,26.64,27.82,68.25,1242.56,4
2026-01-11,Agra,19.2,18.68,54.75,550.34,2
2026-01-11,Ambala,22.42,25.96,64.86,2068.0,9
2026-01-11,Amritsar,30.33,28.92,71.0,1324.51,6
2026-01-11,Bareilly,28.28,30.38,59.33,330.78,2
2026-01-11,Bathinda,23.83,24.95,69.5,1328.33,5
2026-01-11,Fatehabad,11.0,25.1,74.0,937.56,5
2026-01-11,Ferozepur,39.9,35.15,35.5,686.72,3
2026-01-11,Hisar,9.02,26.54,60.33,467.89,2
2026-01-11,Jalandhar,36.15,21.9,69.0,973.69,3
2026-01-11,Karnal,14.74,22.6,79.0,1869.81,10
2026-01-11,Kurukshetra,36.45,23.73,48.0,1407.36,5
2026-01-11,Ludhiana,18.77,24.87,78.0,1487.42,6
2026-01-11,Meerut,33.73,27.11,62.67,253.96,1
2026-01-11,Moga,32.38,27.24,62.25,586.89,2
2026-01-11,Muzaffarnagar,9.25,25.25,61.5,1921.1,6
2026-01-11,Patiala,21.62,31.67,48.67,1736.12,5
2026-01-11,Saharanpur,30.73,22.04,72.5,1122.92,6
2026-01-11,Sirsa,,23.3,61.5,1910.51,7
2026-01-11,Unknown,24.27,18.7,70.33,3212.32,11
2026-01-12,Agra,21.2,37.28,63.0,315.18,3
2026-01-12,Ambala,28.7,24.8,50.5,1403.82,6
2026-01-12,Amritsar,27.38,25.97,81.33,1485.94,5
2026-01-12,Bareilly,37.1,29.89,41.0,2397.89,9
2026-01-12,Bathinda,40.94,23.94,45.75,520.35,3
2026-01-12,Fatehabad,16.64,23.29,71.0,1594.31,7
2026-01-12,Ferozepur,17.94,27.72,64.2,105.42,1
2026-01-12,Hisar,23.29,31.75,80.0,85.47,1
2026-01-12,Jalandhar,3.81,19.89,,109.49,1
2026-01-12,Karnal,39.41,35.69,47.0,1731.48,7
2026-01-12,Kurukshetra,,25.72,64.0,486.91,3
2026-01-12,Ludhiana,30.87,29.65,36.5,719.83,5
2026-01-12,Meerut,42.5,31.2,37.0,177.0,1
2026-01-12,Moga,,19.3,,458.15,2
2026-01-12,Patiala,0.5,28.6,81.0,1546.94,5
2026-01-12,Saharanpur,28.57,20.57,60.33,1754.32,8
2026-01-12,Sirsa,12.1,27.5,33.0,672.1,5
2026-01-12,Unknown,,22.5,51.0,1233.9,4
2026-01-13,Agra,31.6,29.9,86.5,426.89,4
2026-01-13,Ambala,36.36,21.0,50.67,2413.27,10
2026-01-13,Amritsar,39.15,25.67,79.0,2045.78,7
2026-01-13,Bareilly,19.55,30.89,72.33,760.94,3
2026-01-13,Bathinda,34.6,29.94,65.0,426.34,1
2026-01-13,Fatehabad,31.4,21.64,50.0,975.78,4
2026-01-13,Ferozepur,24.6,31.6,49.25,652.83,3
2026-01-13,Hisar,20.08,23.91,55.0,1836.56,11
2026-01-13,Jalandhar,31.3,27.64,44.5,1844.19,7
2026-01-13,Karnal,37.26,26.13,59.25,689.54,4
2026-01-13,Kurukshetra,22.61,17.0,69.0,627.32,2
2026-01-13,Ludhiana,22.97,26.36,47.2,1476.31,10
2026-01-13,Moga,22.56,30.13,57.67,166.35,1
2026-01-13,Saharanpur,16.4,21.89,46.5,823.1,4
2026-01-13,Sirsa,43.2,23.58,78.0,1035.56,7
2026-01-13,Unknown,21.37,30.32,66.5,1950.65,6
2026-01-14,Agra,38.8,19.5,66.0,1467.3,6
2026-01-14,Ambala,25.35,23.27,57.33,196.82,1
2026-01-14,Amritsar,30.57,25.12,56.5,2888.52,10
2026-01-14,Bareilly,30.47,23.3,58.2,1685.06,7
2026-01-14,Bathinda,3.55,29.86,38.0,730.46,2
2026-01-14,Fatehabad,32.9,38.39,67.5,791.49,3
2026-01-14,Ferozepur,17.87,28.06,85.0,486.9,1
2026-01-14,Hisar,18.57,25.93,59.0,1341.31,8
2026-01-14,Jalandhar,,25.44,67.0,988.27,4
2026-01-14,Karnal,35.35,23.88,47.0,1083.35,5
2026-01-14,Kurukshetra,30.9,26.39,89.0,1562.51,5
2026-01-14,Ludhiana,22.45,28.03,66.5,977.81,4
2026-01-14,Meerut,16.28,30.27,44.33,91.7,1
2026-01-14,Moga,5.3,25.83,57.67,1260.21,6
2026-01-14,Muzaffarnagar,25.1,24.21,66.33,1920.47,7
2026-01-14,Patiala,35.29,27.24,93.0,1729.46,6
2026-01-14,Saharanpur,31.75,27.9,50.5,1993.03,8
2026-01-14,Sirsa,,19.7,59.0,491.79,4
2026-01-14,Unknown,8.3,22.0,70.0,1074.8,3
2026-01-15,Agra,26.66,30.57,79.0,525.99,3
2026-01-15,Ambala,24.45,28.54,79.33,590.07,3
2026-01-15,Amritsar,25.7,20.9,73.33,514.47,4
2026-01-15,Bareilly,15.62,25.29,62.6,1561.08,6
2026-01-15,Bathinda,8.33,21.41,81.67,641.2,6
2026-01-15,Fatehabad,43.18,16.5,,1012.48,5
2026-01-15,Ferozepur,31.97,28.33,49.33,681.99,3
2026-01-15,Hisar,,32.55,61.0,350.0,2
2026-01-15,Jalandhar,5.1,31.75,63.5,1192.78,3
2026-01-15,Karnal,30.83,28.0,68.25,2122.62,9
2026-01-15,Kurukshetra,25.23,26.06,59.0,564.38,3
2026-01-15,Ludhiana,21.1,28.35,72.5,1653.37,8
2026-01-15,Meerut,8.9,34.14,81.0,223.42,2
2026-01-15,Moga,9.97,22.8,61.33,1557.05,5
2026-01-15,Muzaffarnagar,,33.61,38.0,196.96,1
2026-01-15,Patiala,17.0,25.4,68.25,3874.02,17
2026-01-15,Saharanpur,25.39,29.18,49.25,2292.0,12
2026-01-15,Unknown,17.56,30.17,73.0,2024.6,7
2026-01-16,Agra,21.94,32.85,61.5,1479.19,5
2026-01-16,Ambala,31.22,26.66,59.6,244.44,4
2026-01-16,Amritsar,21.8,17.72,70.0,1024.13,4
2026-01-16,Bareilly,13.22,24.56,80.0,2428.65,9
2026-01-16,Bathinda,31.38,35.35,73.75,1669.34,8
2026-01-16,Fatehabad,20.0,34.54,56.0,1533.37,5
2026-01-16,Ferozepur,18.8,33.0,80.0,137.95,1
2026-01-16,Hisar,10.13,27.53,50.0,1900.46,8
2026-01-16,Jalandhar,14.32,35.76,44.5,1332.93,5
2026-01-16,Karnal,32.61,24.23,77.5,1279.9,5
2026-01-16,Kurukshetra,23.08,31.28,61.5,2199.06,7
2026-01-16,Ludhiana,18.05,28.03,41.0,1751.35,7
2026-01-16,Meerut,29.15,23.55,50.5,624.64,2
2026-01-16,Moga,29.95,27.24,60.0,503.68,3
2026-01-16,Muzaffarnagar,21.4,31.23,67.0,1393.94,5
2026-01-16,Patiala,24.6,34.04,,1943.06,9
2026-01-16,Saharanpur,30.2,29.43,63.25,1684.03,6
2026-01-16,Sirsa,40.9,24.6,62.5,939.53,5
2026-01-16,Unknown,25.42,17.84,63.5,787.74,3
2026-01-17,Agra,8.89,27.0,33.0,1238.5,3
2026-01-17,Ambala,,32.89,34.0,871.5,5
2026-01-17,Amritsar,39.77,34.7,45.25,3001.03,11
2026-01-17,Bareilly,22.98,28.53,80.33,1746.97,6
2026-01-17,Bathinda,46.61,28.79,53.5,254.61,2
2026-01-17,Fatehabad,18.97,30.08,71.67,243.51,1
2026-01-17,Ferozepur,18.82,29.43,64.33,773.53,3
2026-01-17,Jalandhar,41.37,30.08,71.67,292.14,4
2026-01-17,Karnal,28.96,30.8,74.67,635.06,6
2026-01-17,Kurukshetra,24.45,29.34,62.67,963.54,3
2026-01-17,Ludhiana,25.25,30.32,61.0,1965.65,7
2026-01-17,Meerut,45.97,37.89,39.0,785.95,4
2026-01-17,Moga,5.75,29.94,48.0,614.87,3
2026-01-17,Muzaffarnagar,18.58,27.38,65.0,1342.99,5
2026-01-17,Patiala,30.5,29.72,34.0,1498.65,6
2026-01-17,Saharanpur,41.05,28.74,82.4,1505.77,9
2026-01-17,Unknown,34.9,27.72,65.67,2006.09,8
2026-01-18,Agra,15.8,22.05,55.0,1104.02,5
2026-01-18,Ambala,9.1,30.3,53.0,1632.32,5
2026-01-18,Amritsar,18.3,22.8,89.0,2154.75,9
2026-01-18,Bareilly,26.3,16.6,89.0,1117.82,4
2026-01-18,Bathinda,14.73,26.45,63.0,96.04,1
2026-01-18,Ferozepur,31.57,24.87,63.25,1018.65,5
2026-01-18,Hisar,22.15,24.62,69.0,2215.36,9
2026-01-18,Jalandhar,36.5,28.5,51.0,752.84,3
2026-01-18,Karnal,35.6,29.12,65.67,1144.08,7
2026-01-18,Kurukshetra,19.52,26.54,67.5,2219.0,8
2026-01-18,Ludhiana,16.2,34.45,59.0,639.34,3
2026-01-18,Meerut,41.0,33.9,84.0,808.07,3
2026-01-18,Muzaffarnagar,37.34,32.39,90.0,2137.67,8
2026-01-18,Patiala,27.0,16.3,77.0,824.81,4
2026-01-18,Saharanpur,25.7,33.67,87.0,1359.48,5
2026-01-18,Sirsa,,34.61,95.0,1183.49,5
2026-01-18,Unknown,45.8,39.8,79.0,3174.29,10
2026-01-19,Ambala,28.1,23.35,73.5,935.92,3
2026-01-19,Amritsar,28.63,24.82,64.5,806.74,7
2026-01-19,Bathinda,20.17,24.41,62.33,1107.03,7
2026-01-19,Fatehabad,0.51,35.0,42.0,1025.54,5
2026-01-19,Ferozepur,16.1,30.32,40.5,1394.16,5
2026-01-19,Hisar,14.28,27.89,53.5,1741.73,4
2026-01-19,Jalandhar,36.1,15.1,44.0,78.63,2
2026-01-19,Karnal,36.51,23.72,55.75,1503.17,5
2026-01-19,Kurukshetra,21.78,28.38,58.0,2300.41,6
2026-01-19,Ludhiana,18.38,30.04,47.0,1314.18,6
2026-01-19,Meerut,36.54,26.02,76.0,317.66,3
2026-01-19,Moga,22.97,26.17,50.0,628.27,2
2026-01-19,Muzaffarnagar,34.52,22.73,49.67,3611.62,15
2026-01-19,Patiala,26.1,27.98,47.25,1208.22,6
2026-01-19,Saharanpur,18.46,27.77,40.0,859.52,5
2026-01-19,Sirsa,40.39,30.4,40.0,872.54,3
2026-01-19,Unknown,30.57,29.63,59.67,1318.3,4
2026-01-20,Agra,10.29,37.7,73.5,1040.18,3
2026-01-20,Ambala,23.79,36.47,67.0,543.41,3
2026-01-20,Amritsar,28.95,29.5,68.75,1346.53,5
2026-01-20,Bareilly,9.64,28.0,79.0,1140.38,5
2026-01-20,Bathinda,29.23,32.31,58.0,1115.11,5
2026-01-20,Fatehabad,26.71,25.85,90.0,567.18,4
2026-01-20,Ferozepur,21.73,28.37,63.8,1014.67,4
2026-01-20,Hisar,22.1,26.96,39.67,1566.43,5
2026-01-20,Jalandhar,43.69,31.0,74.0,426.3,2
2026-01-20,Karnal,39.88,28.11,90.0,1503.0,6
2026-01-20,Kurukshetra,22.63,24.43,53.67,1758.41,5
2026-01-20,Ludhiana,27.57,20.44,49.0,2730.44,12
2026-01-20,Moga,5.08,23.89,48.0,203.51,3
2026-01-20,Muzaffarnagar,34.74,21.8,51.0,2742.93,7
2026-01-20,Patiala,11.95,22.8,67.0,1772.38,6
2026-01-20,Saharanpur,37.3,23.66,61.5,2572.78,9
2026-01-20,Sirsa,11.45,29.2,60.33,979.24,5
2026-01-20,Unknown,14.75,28.4,58.8,550.92,3
2026-01-21,Agra,25.89,28.0,68.25,852.96,3
2026-01-21,Ambala,25.43,25.35,60.0,2022.72,6
2026-01-21,Amritsar,27.98,23.36,53.2,1726.83,5
2026-01-21,Bareilly,19.2,20.7,63.0,1812.2,8
2026-01-21,Bathinda,28.71,28.79,75.5,1260.72,4
2026-01-21,Fatehabad,18.8,32.3,41.0,993.11,5
2026-01-21,Ferozepur,13.8,15.1,,893.51,3
2026-01-21,Hisar,17.33,24.07,70.5,1184.16,3
2026-01-21,Jalandhar,9.7,17.78,76.0,1030.78,3
2026-01-21,Kurukshetra,33.13,34.83,81.5,1502.2,7
2026-01-21,Ludhiana,29.4,23.14,65.2,1228.79,7
2026-01-21,Meerut,25.55,22.97,55.33,738.23,4
2026-01-21,Moga,18.78,26.9,49.14,833.81,3
2026-01-21,Muzaffarnagar,40.5,24.4,84.5,1774.13,11
2026-01-21,Saharanpur,27.65,23.0,48.5,2748.92,8
2026-01-21,Sirsa,27.38,29.2,65.5,1081.91,5
2026-01-22,Agra,40.65,31.7,57.33,806.86,3
2026-01-22,Ambala,23.87,30.69,54.67,1231.81,4
2026-01-22,Amritsar,11.9,29.89,,1563.8,6
2026-01-22,Bareilly,29.42,29.85,69.0,430.78,3
2026-01-22,Bathinda,,18.0,66.0,1003.86,4
2026-01-22,Fatehabad,21.6,24.36,88.0,1809.43,10
2026-01-22,Ferozepur,30.7,20.91,58.0,1333.82,4
2026-01-22,Hisar,9.91,31.3,87.0,1633.57,5
2026-01-22,Jalandhar,25.87,25.36,77.5,915.68,4
2026-01-22,Karnal,10.6,38.05,90.0,1182.12,5
2026-01-22,Kurukshetra,18.77,29.67,55.0,413.65,4
2026-01-22,Ludhiana,21.5,29.21,79.67,1603.85,8
2026-01-22,Moga,32.83,25.8,57.33,182.01,1
2026-01-22,Muzaffarnagar,26.1,32.38,54.0,2478.93,9
2026-01-22,Patiala,25.9,33.8,43.0,2880.13,9
2026-01-22,Sirsa,,24.89,72.0,1272.01,4
2026-01-22,Unknown,37.1,30.7,,1781.3,10
2026-01-23,Agra,22.48,29.69,53.0,2534.07,7
2026-01-23,Ambala,2.9,22.4,33.0,1778.33,8
2026-01-23,Amritsar,28.7,27.3,,958.06,3
2026-01-23,Bareilly,24.64,31.0,85.0,860.04,4
2026-01-23,Bathinda,34.92,25.76,59.6,1924.59,6
2026-01-23,Fatehabad,,33.1,39.0,1727.98,7
2026-01-23,Ferozepur,30.19,27.13,63.2,579.67,2
2026-01-23,Hisar,21.34,18.35,56.0,924.3,5
2026-01-23,Jalandhar,22.9,34.4,40.0,1284.56,5
2026-01-23,Karnal,17.8,33.2,63.25,1280.53,6
2026-01-23,Ludhiana,33.75,25.94,83.0,1056.94,5
2026-01-23,Meerut,21.25,25.82,64.33,839.98,2
2026-01-23,Moga,16.25,22.3,70.5,1020.38,3
2026-01-23,Patiala,41.92,19.25,45.0,1422.99,6
2026-01-23,Sirsa,42.16,30.39,59.0,86.66,1
2026-01-24,Agra,15.27,31.0,54.0,25.92,2
2026-01-24,Ambala,36.2,33.0,88.0,1843.51,7
2026-01-24,Amritsar,29.7,23.82,60.25,1392.53,8
2026-01-24,Bathinda,27.18,38.0,88.0,1396.94,7
2026-01-24,Fatehabad,27.37,26.84,69.6,1636.44,7
2026-01-24,Ferozepur,37.8,19.0,,1270.5,5
2026-01-24,Hisar,25.95,24.0,68.25,835.47,3
2026-01-24,Jalandhar,21.61,26.31,68.2,599.64,2
2026-01-24,Karnal,16.45,18.56,44.5,1951.78,9
2026-01-24,Kurukshetra,45.53,31.87,72.0,1090.64,5
2026-01-24,Ludhiana,33.65,24.3,64.0,2737.9,11
2026-01-24,Meerut,33.2,23.45,50.0,443.53,1
2026-01-24,Moga,35.92,26.0,58.2,467.13,4
2026-01-24,Muzaffarnagar,40.39,25.39,70.0,1225.03,7
2026-01-24,Patiala,32.6,15.5,30.0,724.35,3
2026-01-24,Saharanpur,20.95,26.37,79.0,1446.46,5
2026-01-24,Sirsa,12.1,29.44,65.67,903.51,5
2026-01-24,Unknown,32.25,23.0,66.0,3105.12,10
2026-01-25,Agra,22.36,24.83,52.4,744.76,3
2026-01-25,Ambala,6.6,26.1,88.5,1851.91,6
2026-01-25,Amritsar,17.75,23.06,62.0,1020.55,5
2026-01-25,Bareilly,18.89,35.43,50.67,1406.61,5
2026-01-25,Bathinda,17.91,28.27,81.67,991.37,4
2026-01-25,Fatehabad,29.04,31.04,46.0,1034.78,5
2026-01-25,Hisar,20.35,27.42,57.8,2422.97,6
2026-01-25,Jalandhar,30.93,21.39,74.0,364.68,3
2026-01-25,Karnal,22.53,28.81,57.67,1232.07,4
2026-01-25,Kurukshetra,10.9,37.15,54.0,1134.35,6
2026-01-25,Ludhiana,35.1,27.96,71.0,2653.43,9
2026-01-25,Moga,7.55,30.0,77.5,966.38,6
2026-01-25,Muzaffarnagar,29.57,33.1,55.25,1574.24,8
2026-01-25,Patiala,12.2,18.55,60.0,2259.11,7
2026-01-25,Saharanpur,14.83,30.73,50.0,1202.67,6
2026-01-25,Sirsa,27.55,27.61,58.25,1077.3,5
2026-01-25,Unknown,18.29,36.44,61.5,1560.85,7
2026-01-26,Agra,33.45,20.24,44.0,1137.15,7
2026-01-26,Ambala,37.34,24.7,,860.13,5
2026-01-26,Amritsar,26.65,29.26,73.0,1082.34,5
2026-01-26,Bareilly,46.13,29.49,66.0,899.27,3
2026-01-26,Bathinda,37.1,29.7,60.0,212.54,1
2026-01-26,Fatehabad,24.2,30.89,56.0,799.83,5
2026-01-26,Ferozepur,44.45,31.47,89.0,1065.62,3
